district,target_no,amt,agriculture_no,amt,education_no,amt,housing_no,amt,personal_loans_under_nps_no,amt,others_no,amt,total_nps_no,amt,achv_pct_amt
Bokaro,57007,366465,37,55.61,43,567.42,706,9766.46,4191,23003.29,26997,202392.94,31974,235785.72,64.34
Chatra,8429,30945,7,26.10,,,29,392.67,683,3792.49,3634,11345.11,4353,15556.37,50.27
Deoghar,23842,96274,22,44.28,23,199.38,288,5037.92,1631,8638.24,11715,34466.25,13679,48386.07,50.26
Dhanbad,102690,493551,50,202.37,47,347.99,1127,15482.72,7134,47573.71,43911,210976.91,52269,274583.69,55.63
Dumka,13137,48278,15,24.17,1,6.44,46,673.57,742,3208.36,6030,20068.51,6834,23981.06,49.67
East Singhbhum,184191,953352,48,227.85,497,4771.95,2004,33698.83,8786,39365.38,94421,618358.04,105756,696422.04,73.05
Garhwa,10043,32730,11,39.85,,,42,513.57,660,2732.47,4506,14014.12,5219,17300.01,52.86
Giridih,30360,140239,35,85.29,10,106.18,182,2300.22,2004,8304.22,13148,74807.85,15379,85603.76,61.04
Godda,11892,44227,19,58.39,3,13.32,60,1024.42,661,3152.28,5943,22017.83,6686,26266.25,59.39
Gumla,6919,26243,12,31.95,1,2.54,37,842.62,458,2085.14,3029,11060.17,3537,14022.42,53.43
Hazaribagh,44445,154203,30,115.74,24,187.94,389,5814.05,2328,13014.03,21525,65120.37,24296,84252.13,54.64
Jamtara,6679,23087,1,1.50,2,14.46,22,130.67,362,1501.20,3193,9776.26,3580,11424.08,49.48
Khunti,5540,25527,4,3.05,3,41.38,23,413.36,248,1232.92,2667,11428.95,2945,13119.66,51.39
Koderma,14732,48870,2,4.22,3,21.41,63,909.04,612,2944.41,6396,21855.56,7076,25734.65,52.66
Latehar,9049,30209,16,126.38,,,16,300.40,373,2232.68,3545,12258.20,3950,14917.66,49.38
Lohardaga,5470,19622,15,30.28,1,9.14,28,402.29,298,1380.63,2518,8057.96,2860,9880.30,50.35
Pakur,14104,28788,2,0.97,5,37.19,41,863.44,278,1144.65,5591,12691.30,5917,14737.56,51.19
Palamu,24672,78864,7,27.43,5,40.27,83,1397.38,1328,5798.40,11850,33027.40,13273,40290.88,51.09
Ramgarh,23000,124334,7,38.50,14,145.51,317,3988.17,1851,14207.70,11179,61875.63,13368,80255.52,64.55
Ranchi,249859,2401988,65,20094.95,355,3274.48,2957,59192.79,11111,65861.49,117209,1262183.12,131697,1410606.82,58.73
Sahibganj,10166,33944,14,73.99,2,10.12,38,563.50,621,2464.92,4732,13932.26,5407,17044.79,50.21
Seraikela-Kharsawan,26083,96738,1,0.03,11,100.72,280,4230.79,1484,6525.36,11106,105094.50,12882,115951.39,119.86
Simdega,3744,12822,7,12.33,1,10.00,13,77.74,232,1163.40,1829,5804.13,2082,7067.61,55.12
West Singhbhum,16729,318699,9,15.61,15,196.24,111,2152.40,1534,6266.48,7371,316293.84,9040,324924.56,101.95
