district,as_on_30th_september_2024_farm_credit_no,amt,out_of_farm_credit_total_crop_loans_no,amt,out_of_farm_credit_total_investment_credit_no,amt,out_of_farm_credit_total_allied_activities_no,amt,agri_infrastructure_no,amt,ancillary_activities_no,amt,total_agri_no,amt,pct_of_agri_adv_to_total_advance,col_17
Bokaro,83103,61839.96,52803,32488.30,30300,29351.65,17965,14859.83,67,233.19,7113,20593.18,90283,82666.33,9.00,
Chatra,74944,47978.64,54855,31042.45,20089,16936.20,12000,9420.28,254,95.87,4501,11020.58,79699,59095.09,39.06,
Deoghar,116965,73849.49,88791,50816.60,28174,23032.89,16608,14873.48,77,330.37,1093,11659.39,118135,85839.25,20.34,
Dhanbad,102452,68561.73,44890,29063.86,57562,39497.87,31322,20057.13,124,1620.76,6302,24841.46,108878,95023.95,6.02,
Dumka,95208,57474.83,67266,30854.37,27942,26620.46,17806,17738.63,85,64.69,706,4425.32,95999,61964.85,27.82,
East Singhbhum,124611,89715.92,85250,49880.34,39361,39835.58,24277,24636.66,57,625.97,9773,39080.61,134441,129422.49,5.31,
Garhwa,100132,80013.83,58695,53287.31,41437,26726.52,25335,22788.30,366,105.35,478,1169.21,100976,81288.39,46.58,
Giridih,150345,90465.01,84088,46649.60,66257,43815.42,42866,25406.45,131,200.55,7101,20841.25,157577,111506.81,23.15,
Godda,92895,63918.15,61584,38229.14,31311,25689.01,20881,14067.51,19,18.28,1159,2874.02,94073,66810.46,32.38,
Gumla,61942,38567.88,53341,27684.90,8601,10882.99,4209,7399.49,5,3.76,4001,11115.60,65948,49687.25,36.33,
Hazaribagh,132804,95978.42,77834,53043.49,54970,42934.93,31419,23784.66,25,125.70,5775,30152.89,138604,126257.00,19.61,
Jamtara,56787,37681.97,50238,29515.03,6549,8166.94,3663,4757.04,11,6.99,845,2025.98,57643,39714.94,39.63,
Khunti,40458,24512.36,27954,15356.05,12504,9156.31,9700,6785.45,6,47.62,1625,4864.42,42089,29424.40,27.86,
Koderma,55612,33983.69,29950,17696.63,25662,16287.05,8505,6471.09,22,24.36,3893,12949.64,59527,46957.69,23.09,
Latehar,40473,39547.05,31420,23883.14,9053,15663.91,5665,10377.38,258,74.75,593,1187.82,41324,40809.62,33.90,
Lohardaga,38701,25937.44,33516,20331.66,5185,5605.78,2643,3697.03,129,73.57,3179,9350.75,42009,35361.76,33.81,
Pakur,49254,38568.31,29967,17684.73,19287,20883.58,14729,11567.74,243,155.63,1879,3764.31,51376,42488.25,29.76,
Palamu,149517,117104.12,83605,69587.02,65912,47517.10,42807,31712.30,764,261.17,1461,2531.91,151742,119897.19,33.96,
Ramgarh,52028,33579.82,26778,18145.69,25250,15434.13,18433,10862.79,32,59.88,3856,10872.25,55916,44511.95,10.98,
Ranchi,1083565,351538.95,158622,82136.49,924943,269402.46,153513,69069.73,289,5737.08,8119,125764.74,1091973,483040.77,11.00,
Sahibganj,64689,50055.53,41384,28893.95,23305,21161.58,16240,13066.24,50,62.24,1546,2099.97,66285,52217.74,34.38,
Seraikela-Kharsawan,156176,69671.99,62925,36045.92,93251,33626.07,20521,11808.74,19,524.90,4245,14768.12,160440,84965.02,18.21,
Simdega,29137,18407.39,22485,10671.03,6652,7736.35,3635,5570.08,22,16.80,2714,5906.11,31873,24330.30,36.04,
West Singhbhum,86006,67526.77,71360,47076.99,14646,20449.79,6532,13720.68,110,201.60,3358,9114.24,89474,76842.61,16.67,
