district,as_on_30th_september_2024_micro*_no,amt,small_no,amt,medium_no,amt,other_msme_no,amt,total_no,amt,pct_of_msme_to_total_advances,col_13
Bokaro,43986,168306.61,1427,72086.57,306,48878.66,107,220.09,45826,289491.93,31.51,
Chatra,8233,28054.66,123,3787.20,44,361.00,1,1.31,8401,32204.17,21.28,
Deoghar,20563,83123.01,688,30438.13,129,20046.48,24,34.46,21404,133642.07,31.67,
Dhanbad,62872,252159.80,2586,168899.53,524,55510.14,113,2442.68,66095,479012.15,30.35,
Dumka,13365,35071.49,366,16707.12,69,4365.10,15,132.33,13815,56276.03,25.26,
East Singhbhum,65233,360089.40,5730,248986.43,1893,159716.52,65,216.72,72921,769009.06,31.56,
Garhwa,7637,22301.91,151,3479.88,6,279.26,5,38.47,7799,26099.52,14.96,
Giridih,34404,96456.81,490,34645.06,122,5197.00,8,39.28,35024,136338.15,28.30,
Godda,11933,31402.71,286,6108.13,15,1096.44,56,35.17,12290,38642.45,18.73,
Gumla,7298,23557.13,160,4875.76,33,350.07,3,0.05,7494,28783.01,21.04,
Hazaribagh,34371,153516.07,1146,40173.73,203,8553.01,14,20.47,35734,202263.29,31.42,
Jamtara,6206,13587.47,78,2214.81,19,290.48,5,0.21,6308,16092.97,16.06,
Khunti,5428,15337.75,118,3393.30,6,477.51,10,13.46,5562,19222.03,18.20,
Koderma,17054,55286.55,501,13336.16,61,771.55,4,10.18,17620,69404.44,34.13,
Latehar,6902,17140.74,77,2340.10,8,240.52,3,56.03,6990,19777.38,16.43,
Lohardaga,6312,18703.58,188,4627.81,16,534.08,9,27.70,6525,23893.17,22.84,
Pakur,12178,28164.14,246,8141.13,58,1889.36,4,0.86,12486,38195.49,26.76,
Palamu,15184,47657.75,363,14320.59,41,2481.55,11,18.99,15599,64478.87,18.26,
Ramgarh,20037,74435.05,533,32749.77,210,6294.70,10,5.46,20790,113484.98,27.98,
Ranchi,140180,528048.53,4857,301642.31,898,181960.81,130,1678.20,146065,1013329.85,23.08,
Sahibganj,11933,24018.98,167,3422.08,23,173.16,3,3.34,12126,27617.56,18.18,
Seraikela-Kharsawan,30017,70959.16,930,63458.18,312,41661.01,68,315.29,31327,176393.63,37.80,
Simdega,4861,13664.20,83,978.69,5,20.18,4,0.06,4953,14663.14,21.72,
West Singhbhum,17188,46017.64,549,17302.07,93,3363.05,66,64.87,17896,66747.63,14.48,
