district,details_of_farmer_total_no_of_farmers,out_of_a_total_no_of_operational_holdings,out_of_a_total_no_of_pm_kissan_beneficiary_farmers,out_of_a_total_no_of_sf_mf_farmers,out_of_a_total_no_of_tenant_farmers,total_no_of_sf_mf_tenant_farmers_d+e,benchmark_parameter_coverage_of_farmers_no_of_agri_loan_accounts,out_of_g_total_no_of_kcc_a_cs_no_of_a_cs,out_of_g_total_no_of_sf_mf_a_cs_no_of_a_cs,out_of_g_total_no_of_allied_activities_a_cs_no_of_a_cs,out_of_h_total_no_of_kcc_a_cs_total_no_of_pm_kissan_beneficiary_no_of_a_cs,no_of_sf_mf_accounts_financed_disbursed_during_the_year_no_of_a_cs,no_of_tenant_farmers_accounts_financed_disbursed_during_the_year_no_of_a_cs,total_no_of_sf_mf_and_tenant_farmers_accounts_financed_disbursed_during_the_year
Bokaro,87991,87991,55580,87991,0,87991,85934,55580,58919,12960,55580,29946,0,29946
Chatra,206045,73043,106825,143214,43698,186912,76390,54993,69457,6547,25647,23456,10654,34110
Deoghar,16497,13935,44971,47250,16497,63747,25753,106,850,-18,2019,49,158,207
Dhanbad,96360,43524,87652,43524,0,43524,,79437,,,,,,0
Dumka,120752,108973,104479,116504,0,116504,99257,77488,99257,25713,69032,55891,0,55891
Garhwa,24800,183398,303525,220000,0,220000,92345,60241,81264,8966,59784,16618,0,16618
Giridih,154499,139049,154499,123874,0,123874,147691,84509,84509,43449,84509,17442,0,17442
Godda,140000,86782,109736,86400,36750,123150,138100,88500,90950,1100,77900,8700,0,8700
Gumla,321272,305690,92807,286440,15400,301840,9722,3980,7010,3030,3080,7010,0,7010
Hazaribagh,232610,129112,224902,115473,1931,117404,137254,88468,119642,21767,70423,1548,43,1591
Jamtara,125326,37570,112033,75196,2600,77796,63796,48915,29349,5881,41848,17103,0,17103
Khunti,75000,75000,66851,66505,6489,72994,54437,49263,46729,5002,44103,7637,103,7740
Koderma,106000,35750,38426,71550,23850,95400,212324,175543,171874,148074,61809,4870,3338,8208
Latehar,77791,75190,57704,60011,0,60011,40344,31029,32275,403,0,1816,0,1816
Lohardaga,99780,52916,49437,42686,0,42686,57023,49214,49214,8812,41319,8104,0,8104
Pakur,124500,111000,90058,90058,34442,124500,92540,74234,59894,94759,63479,10290,1684,11974
Palamu,293231,274040,195924,253478,0,253478,152624,83650,131257,45895,83650,12911,0,12911
Ramgarh,69508,69508,54893,0,0,0,34414,26918,0,11998,0,0,0,0
Ranchi,130532,101474,104793,77694,13554,91248,137824,62900,34319,1959,45025,13324,2503,15827
Sahibganj,130000,94257,41420,110000,20000,130000,65070,41475,29405,17091,15120,4312,1402,5714
Simdega,128544,84593,31040,64342,0,64342,48482,38693,29049,9006,36330,474,0,474
