district,total_disbursment_during_this_current_afy_number,amount,outstanding_at_the_end_of_reporting_quarter_number,amount,"out_of_total_kcc_issued,_no_of_rupay_cards_issued_number",kcc_card_activated_number
Bokaro,8,11.08,96,102.47,54,46
Chatra,8,5.17,24,30.27,19,18
Deoghar,7,2.09,33,13.15,10,10
Dhanbad,10,11.37,136,70.59,86,74
Dumka,6,2.02,53,21.53,19,18
East Singhbhum,11,45.26,118,92.55,40,30
Garhwa,1,1.51,1,1.51,,
Giridih,8,8.14,101,46.85,92,81
Godda,10,5.44,24,13.70,18,18
Gumla,1,2.69,23,11.34,14,9
Hazaribagh,40,43.41,157,107.42,114,103
Jamtara,3,2.49,6,3.28,2,2
Khunti,3,2.04,33,17.40,19,14
Koderma,28,35.90,75,66.56,45,24
Latehar,2,7.10,26,23.94,6,6
Lohardaga,2,3.63,63,66.10,50,44
Pakur,2,3.98,35,17.55,4,3
Palamu,1,2.31,17,10.53,3,3
Ramgarh,17,19.97,77,49.39,70,53
Ranchi,8,6.76,81,51.42,53,50
Sahibganj,30,23.08,87,58.50,60,60
Seraikela-Kharsawan,18,27.82,324,256.45,157,119
Simdega,4,5.81,59,40.68,25,18
West Singhbhum,7,14.92,106,70.61,7,6
