district,target_fy_2024_25_ac,amt,priority_sector_outstanding_as_on_as_on_30th_september_2023_ac,amt,disbursed_from_01st_april_to_the_end_of_reporting_quarter_acp_ac,amt,outstanding_as_on_as_on_30th_september_2024_ac,amt,non_priority_sector_outstanding_as_on_as_on_30th_september_2023_ac,amt,disbursed_from_01st_april_to_the_end_of_reporting_quarter_acp_ac,amt,outstanding_as_on_as_on_30th_september_2024_ac,amt
Bokaro,2787,32162,3471,32523,343,1416,3191,30173,3762,61369,698,9647,4302,75193
Chatra,96,1475,166,1337,20,147,168,1328,179,2861,29,393,192,3238
Deoghar,1241,15868,1903,12359,110,541,1640,11544,1602,28096,288,5038,1788,35345
Dhanbad,6265,46629,10645,85641,1134,6078,10036,88175,6490,65274,1120,15237,7338,87576
Dumka,282,3277,748,6043,70,323,738,5840,287,6045,46,674,332,6977
East Singhbhum,8246,89381,10147,76885,865,3895,9709,75866,12919,207687,1986,33205,13980,246191
Garhwa,148,1558,277,2331,42,131,282,2408,151,2272,42,509,186,2972
Giridih,466,7261,954,7658,90,321,912,7196,776,14217,180,2239,971,18564
Godda,313,3676,1107,10149,81,746,1071,10202,293,3513,60,1024,325,4889
Gumla,193,2517,299,2484,33,131,266,2334,191,3891,37,821,244,5427
Hazaribagh,1401,16265,2344,19420,199,705,2236,18157,1966,30940,388,5630,2436,40748
Jamtara,70,1077,356,2501,26,180,335,2307,249,2614,22,131,233,2703
Khunti,157,2474,226,2152,36,136,225,2151,195,3904,23,408,213,4458
Koderma,417,3755,648,4037,35,247,558,4100,327,5958,60,869,388,7365
Latehar,93,1307,188,1976,23,87,179,1912,111,2064,16,279,123,2531
Lohardaga,166,2564,268,2172,10,35,256,2047,187,3889,28,385,221,4527
Pakur,171,1896,395,3426,12,49,390,3435,336,4925,39,855,342,5634
Palamu,410,5379,722,6240,115,432,750,6287,496,9654,83,1381,567,11267
Ramgarh,934,13326,960,9289,129,331,907,8401,1269,23591,313,3884,1439,28800
Ranchi,10307,175796,12894,149586,1578,9547,12385,144132,17408,365258,2932,58621,20182,446530
Sahibganj,216,2191,462,4088,75,172,518,4194,244,2971,38,563,267,3645
Seraikela-Kharsawan,1290,12961,1413,10254,164,716,1444,10517,1567,23856,278,4122,1835,32171
Simdega,74,795,127,1121,8,32,122,1054,88,1445,12,63,95,1608
West Singhbhum,441,6410,924,8650,102,574,878,8204,737,12127,109,2119,848,15445
