district,total_npa_under_non_priorty_sector_sector_wise_agriculture_no,amt,housing_no,amt,education_no,amt,others_no,amt,total_non_psl_npa_no,amt,total_npa_psl_npa_+_non_psl_npa_no,amt,total_advances_amt,npa_pct,col_16
Bokaro,32,60,51,728,1,11,12078,9388,12162,10186.85,48521,57873.42,918631.20,6.30,
Chatra,7,17,2,,,,1167,809,1176,826.51,26612,17969.87,151304.75,11.88,
Deoghar,44,14,7,162,3,8,2762,1797,2816,1981.07,33166,20517.36,421957.34,4.86,
Dhanbad,39,80,112,884,4,57,14430,15627,14585,16647.95,57899,61922.69,1576917.16,3.93,
Dumka,4,13,2,37,,,2305,1133,2311,1182.59,26458,15453.59,222762.12,6.94,
East Singhbhum,9,54,172,2707,9,54,14922,23604,15112,26419.07,59081,95526.98,2436385.86,3.92,
Garhwa,12,5,1,26,,,1219,802,1232,832.82,20084,12289.29,174510.74,7.04,
Giridih,6,8,22,228,1,3,4572,2638,4601,2877.43,48031,32543.63,478759.51,6.80,
Godda,9,29,1,,,,1283,1097,1293,1125.44,22660,15215.32,206313.63,7.37,
Gumla,295,164,2,15,,,954,641,1251,819.06,30762,16551.18,136776.90,12.10,
Hazaribagh,6,10,85,563,4,17,5497,3656,5592,4245.54,48116,45467.88,643714.69,7.06,
Jamtara,,,1,6,,,753,789,754,794.47,12603,6497.65,100204.29,6.48,
Khunti,50,20,1,5,,,760,843,811,868.40,12226,7545.28,105598.89,7.15,
Koderma,3,3,9,79,,,2773,1182,2785,1265.05,23701,19360.28,203332.39,9.52,
Latehar,4,11,4,36,,,636,711,644,757.84,8561,5655.82,120386.36,4.70,
Lohardaga,1,4,3,116,,,906,858,910,978.36,19434,13424.44,104595.94,12.83,
Pakur,,,1,2,,,2433,1048,2434,1050.16,15086,9030.66,142745.93,6.33,
Palamu,22,16,6,59,1,1,3296,2594,3325,2670.27,35134,25137.83,353033.15,7.12,
Ramgarh,32,15,14,195,,,3627,6036,3673,6246.08,22428,26337.01,405546.71,6.49,
Ranchi,47,745,206,3444,11,73,20645,59590,20909,63853.02,82545,205747.62,4387699.49,4.69,
Sahibganj,16,57,11,5,,,1681,1341,1708,1403.50,18519,13346.37,151871.47,8.79,
Seraikela-Kharsawan,1,0,19,292,,,4002,2038,4022,2329.85,29023,22661.29,466609.03,4.86,
Simdega,1,4,,,,,983,550,984,554.29,13248,7594.08,67507.90,11.25,
West Singhbhum,5,74,42,304,,,2785,3262,2832,3640.56,31968,27213.72,460943.76,5.90,
