district,as_on_30th_september_2024_agriculture_no,amt,education_no,amt,housing_no,amt,personal_loans_under_nps_no,amt,others_non_priority_sector_no,amt,total_nps_no,amt,total_advance_no,amt,col_16
Bokaro,727,295.71,99,2119.92,4302,75192.53,33134,83124.09,110226,333815.25,148488,494547.51,318506,918631.20,
Chatra,264,383.64,,,192,3238.45,5378,16367.97,15410,36288.41,21244,56278.47,114538,151304.75,
Deoghar,86,473.29,50,1036.84,1788,35344.77,13910,29445.01,46535,114930.18,62369,181230.09,221819,421957.34,
Dhanbad,736,454.99,116,2128.80,7338,87576.39,54537,163482.89,174948,619625.15,237675,873268.21,488100,1578460.16,
Dumka,99,199.21,5,115.17,332,6976.76,6382,13544.61,27513,70652.20,34331,91487.94,162531,222762.12,
East Singhbhum,700,516.86,1189,27073.79,13980,246190.54,68171,147711.13,278515,983851.22,362555,1405343.55,645956,2436385.86,
Garhwa,894,186.20,,3.19,186,2971.51,5525,11732.71,18364,44055.52,24969,58949.13,147579,174510.74,
Giridih,154,367.56,19,404.56,971,18563.59,16042,29778.16,53139,160359.90,70325,209473.78,295104,481761.51,
Godda,196,292.92,5,74.74,325,4888.81,5294,10964.37,23960,69046.27,29780,85267.11,148143,206313.63,
Gumla,421,542.23,3,67.69,244,5427.24,4411,9479.95,13018,37766.35,18097,53283.46,97299,136776.90,
Hazaribagh,293,380.68,49,1077.24,2436,40748.22,19988,51043.54,80430,189587.38,103196,282837.05,302420,643714.69,
Jamtara,3,1.43,4,62.21,233,2703.36,3486,5438.35,12225,32406.77,15951,40612.12,83588,100204.29,
Khunti,68,37.07,4,83.47,213,4457.85,3003,6280.34,12895,42222.25,16183,53080.97,68057,105598.89,
Koderma,41,46.02,8,175.37,388,7364.71,6378,11920.52,25801,58133.63,32616,77640.25,121104,203332.39,
Latehar,51,325.86,1,14.76,123,2530.90,3411,9434.29,12477,43712.66,16063,56018.48,69669,120386.36,
Lohardaga,41,112.01,3,60.32,221,4526.58,2506,6300.80,12067,29573.51,14838,40573.22,69410,104595.94,
Pakur,,,5,59.82,342,5633.87,2449,4536.89,25150,40860.95,27946,51091.53,113327,142745.93,
Palamu,334,228.18,8,138.71,567,11266.78,11986,23079.20,45850,115419.88,58745,150132.75,250525,353033.15,
Ramgarh,119,109.52,27,690.17,1439,28800.10,16487,54699.62,46463,146026.54,64535,230325.94,157216,405546.71,
Ranchi,400,30586.23,827,15831.74,20182,446530.37,86656,244274.00,367875,1930832.75,475940,2668055.08,1785486,4391164.49,
Sahibganj,193,404.45,2,16.86,267,3645.16,5032,9799.82,20562,46784.22,26056,60650.50,121144,151871.47,
Seraikela-Kharsawan,50,54.16,62,949.17,1835,32171.29,13448,26381.80,38590,124533.86,53985,184090.27,260673,466609.03,
Simdega,19,61.58,4,37.88,95,1608.30,2464,5892.79,8413,18484.21,10995,26084.76,51357,67507.90,
West Singhbhum,136,222.00,32,581.42,848,15445.43,11173,25759.62,34748,256493.89,46937,298502.36,171155,460943.76,
