district,aapb_achieved_in_current_fy_91,aapb_target_100,annual_target_79_140,annual_target_achievement_in_current_fy_101,apy_accounts_opened_in_current_fy_80_176,cumulative_apy_accounts_opened_since_inception_4_31_310,no_of_branches_881
Alipurduar,169.0,100.0,5550.0,201.0,11161.0,59976.0,66.0
Bankura,193.0,100.0,24270.0,200.0,48606.0,179499.0,252.0
Birbhum,160.0,100.0,25450.0,171.0,43443.0,231682.0,272.0
Cooch Behar,167.0,100.0,18350.0,189.0,34622.0,184833.0,207.0
Darjeeling,65.0,100.0,21410.0,74.0,15745.0,104835.0,241.0
Hooghly,128.0,100.0,43630.0,141.0,61337.0,297183.0,479.0
Howrah,101.0,100.0,36930.0,111.0,41165.0,227583.0,409.0
Jalpaiguri,166.0,100.0,20080.0,178.0,35840.0,178125.0,216.0
Jhargram,147.0,100.0,5700.0,150.0,8523.0,36920.0,58.0
Kalimpong,48.0,100.0,1770.0,52.0,919.0,6115.0,19.0
Kolkata,21.0,100.0,109150.0,25.0,27604.0,201304.0,1302.0
Malda,247.0,100.0,20630.0,264.0,54428.0,275257.0,220.0
Murshidabad,247.0,100.0,36530.0,265.0,96965.0,466780.0,392.0
Nadia,153.0,100.0,32690.0,173.0,56484.0,278356.0,368.0
Paschim Bardhaman,58.0,100.0,18260.0,69.0,12554.0,64783.0,217.0
Purba Bardhaman,110.0,100.0,48890.0,125.0,61262.0,294363.0,559.0
Purulia,199.0,100.0,15800.0,212.0,33464.0,133570.0,168.0
