district,amount,no_of_cases_pending,no_of_sponsored_application_in_fy_23_24,sep_g_disbursed_no,sep_g_sanctioned_no,sep_i_disbursed_no,sep_i_sanctioned_no,target_amount_of_sep_g_loan_to_be_disbursed_fy_23_24,target_amount_of_sep_i_loan_to_be_disbursed_fy_23_24,target_fy_23_24,target_fy_fy_23_24
Alipurduar,1.27,6.0,6.0,7.0,9.0,1.0,1.0,24.0,70.0,8.0,35.0
Bankura,64.77,32.0,68.0,3.0,5.0,51.0,51.0,18.0,118.0,6.0,59.0
Birbhum,189.23,29.0,302.0,29.0,29.0,149.0,151.0,48.0,374.0,16.0,187.0
Cooch Behar,57.15,11.0,116.0,6.0,6.0,45.0,45.0,42.0,252.0,14.0,126.0
Dakshin Dinajpur,44.45,2.0,81.0,2.0,2.0,35.0,35.0,21.0,122.0,7.0,61.0
Darjeeling,34.29,0.0,32.0,4.0,4.0,27.0,26.0,27.0,236.0,9.0,118.0
Hooghly,242.57,4.0,252.0,11.0,11.0,191.0,192.0,78.0,582.0,26.0,291.0
Howrah,25.4,2.0,29.0,0.0,0.0,20.0,20.0,18.0,208.0,6.0,104.0
Jalpaiguri,22.86,3.0,41.0,2.0,2.0,18.0,19.0,24.0,176.0,8.0,88.0
Jhargram,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,40.0,1.0,20.0
Kalimpong,11.43,0.0,11.0,0.0,0.0,9.0,9.0,15.0,34.0,5.0,17.0
Kolkata,63.5,3.0,156.0,0.0,0.0,50.0,143.0,15.0,240.0,5.0,120.0
Malda,5.08,1.0,16.0,3.0,3.0,4.0,20.0,15.0,90.0,5.0,45.0
Murshidabad,107.95,4.0,139.0,6.0,9.0,85.0,88.0,72.0,388.0,24.0,194.0
Nadia,179.07,3.0,170.0,6.0,10.0,141.0,142.0,72.0,504.0,24.0,252.0
North 24 Parganas,386.08,44.0,455.0,10.0,12.0,304.0,311.0,171.0,1292.0,57.0,646.0
Paschim Bardhaman,11.43,31.0,113.0,1.0,3.0,9.0,9.0,27.0,200.0,9.0,100.0
Paschim Medinipur,132.08,7.0,166.0,9.0,9.0,104.0,104.0,57.0,366.0,19.0,183.0
Purba Bardhaman,120.65,7.0,129.0,7.0,8.0,95.0,96.0,36.0,334.0,12.0,167.0
Purba Medinipur,140.97,5.0,127.0,11.0,12.0,111.0,113.0,57.0,232.0,19.0,116.0
Purulia,52.07,3.0,53.0,2.0,2.0,41.0,41.0,12.0,114.0,4.0,57.0
South 24 Parganas,102.87,6.0,110.0,3.0,4.0,81.0,81.0,39.0,320.0,13.0,160.0
Uttar Dinajpur,53.34,3.0,59.0,15.0,17.0,42.0,42.0,66.0,190.0,22.0,95.0
