district,aap_target_for_fy_2023_24_no_of_programs,achievement_no_of_programs,total_trained
Bankura,30.0,93.33,100.51
Birbhum,20.0,110.0,100.0
Cooch Behar,16.0,112.5,105.5
Darjeeling,13.0,123.08,101.89
Hooghly,26.0,130.77,101.14
Howrah,29.0,110.34,103.95
Jalpaiguri,19.0,89.47,100.68
Malda,24.0,104.17,100.83
Nadia,24.0,112.5,103.93
North 24 Parganas,26.0,96.15,104.39
Purba Bardhaman,24.0,116.67,100.88
Purba Medinipur,25.0,104.0,100.79
Purulia,23.0,100.0,100.44
South 24 Parganas,29.0,131.03,115.77
Uttar Dinajpur,32.0,87.5,101.18
