district,amount_rs_cr,out_of_a_disbursed_by_bank_no,out_of_a_only_approved_by_bank_disbursement_pending_no,out_of_a_rejected_d,out_of_a_sanctioned_by_bank_no,pending_at_bank_level_verified_by_pmu_stcb_no,total_application_submitted_to_bank_a
Alipurduar,0.0,43.0,5.0,81.0,48.0,0.0,129.0
Bankura,25.06,244.0,20.0,184.0,264.0,54.0,502.0
Birbhum,12.0,100.0,38.0,124.0,138.0,37.0,299.0
Cooch Behar,9.8,63.0,15.0,190.0,78.0,15.0,283.0
Dakshin Dinajpur,3.42,23.0,0.0,56.0,23.0,5.0,84.0
Darjeeling,0.29,26.0,9.0,111.0,35.0,3.0,149.0
Hooghly,12.93,341.0,50.0,108.0,391.0,31.0,530.0
Howrah,5.04,41.0,10.0,38.0,51.0,15.0,104.0
Jalpaiguri,1.13,36.0,9.0,106.0,45.0,7.0,158.0
Jhargram,4.93,28.0,4.0,42.0,32.0,23.0,97.0
Kalimpong,0.0,5.0,1.0,6.0,6.0,0.0,12.0
Kolkata,2.26,12.0,6.0,6.0,18.0,2.0,26.0
Malda,7.09,77.0,21.0,269.0,98.0,18.0,385.0
Murshidabad,5.03,149.0,49.0,649.0,198.0,17.0,864.0
Nadia,17.57,39.0,8.0,179.0,47.0,12.0,238.0
North 24 Parganas,4.32,73.0,22.0,341.0,95.0,7.0,443.0
Paschim Bardhaman,6.31,90.0,16.0,12.0,106.0,11.0,129.0
Paschim Medinipur,15.45,256.0,33.0,147.0,289.0,62.0,498.0
Purba Bardhaman,20.37,422.0,74.0,188.0,496.0,36.0,720.0
Purba Medinipur,9.14,92.0,20.0,242.0,112.0,26.0,380.0
Purulia,0.44,40.0,6.0,93.0,46.0,5.0,144.0
South 24 Parganas,6.61,54.0,14.0,131.0,68.0,22.0,221.0
Uttar Dinajpur,2.75,28.0,21.0,83.0,49.0,7.0,139.0
