district,aadhaar_seeded,female_a_c,male_a_c,rupaycard_issued,rural_a_c,total_a_c,total_deposit_cr,urban_a_c,zero_balance_account
Alipurduar,514263.0,339503.0,255086.0,500378.0,390613.0,594589.0,280.5,203976.0,35295.0
Bankura,1907605.0,1260165.0,1008306.0,1296294.0,1963521.0,2268471.0,1234.46,304950.0,125798.0
Birbhum,1989745.0,1361350.0,1014689.0,1387445.0,1914194.0,2376039.0,1034.7,461845.0,145950.0
Cooch Behar,1427417.0,925390.0,728573.0,1268340.0,1188092.0,1653963.0,500.24,465871.0,95519.0
Dakshin Dinajpur,1018549.0,691773.0,523367.0,706652.0,990106.0,1215140.0,414.46,225034.0,78423.0
Darjeeling,554379.0,380004.0,265706.0,506494.0,302020.0,645710.0,388.65,343690.0,40238.0
Hooghly,2115428.0,1445748.0,990659.0,1512278.0,1669134.0,2436407.0,1269.83,767273.0,116053.0
Howrah,1787948.0,1224586.0,856737.0,1375688.0,1370814.0,2081323.0,1030.14,710509.0,91713.0
Jalpaiguri,1356776.0,895246.0,661505.0,1118916.0,1036555.0,1556751.0,645.57,520196.0,100421.0
Jhargram,388185.0,265627.0,213864.0,256435.0,447443.0,479491.0,271.31,32048.0,25242.0
Kalimpong,25738.0,17515.0,14222.0,27614.0,18951.0,31737.0,23.04,12786.0,1308.0
Kolkata,775939.0,537107.0,430918.0,734934.0,7105.0,968025.0,410.98,960920.0,93416.0
Malda,2945560.0,1935290.0,1450384.0,1811785.0,2909127.0,3385674.0,1216.08,476547.0,292174.0
Murshidabad,3963788.0,2608731.0,2018092.0,3144514.0,3419560.0,4626823.0,1671.22,1207263.0,312142.0
Nadia,2600335.0,1801095.0,1339152.0,2026702.0,2121592.0,3140247.0,1301.31,1018655.0,212602.0
North 24 Parganas,3874646.0,2639473.0,1908659.0,3070738.0,2668797.0,4548132.0,2163.45,1879335.0,235497.0
Paschim Bardhaman,1250870.0,1006268.0,521396.0,742930.0,884068.0,1527664.0,557.56,643596.0,93327.0
Paschim Medinipur,2310289.0,1560776.0,1139774.0,1594425.0,2220498.0,2700550.0,1399.5,480052.0,125579.0
Purba Bardhaman,1915187.0,1344426.0,914310.0,1659599.0,1725241.0,2258736.0,954.15,533495.0,78777.0
Purba Medinipur,2243975.0,1466270.0,1151968.0,1582339.0,2405139.0,2618238.0,1448.02,213099.0,121429.0
Purulia,1767745.0,1128613.0,937909.0,1214805.0,1727118.0,2066522.0,1169.34,339404.0,146441.0
South 24 Parganas,4315769.0,2904996.0,2162491.0,3166727.0,4310487.0,5067487.0,2221.99,757000.0,341768.0
Uttar Dinajpur,2208150.0,1516493.0,1185937.0,1399752.0,2120031.0,2702430.0,691.2,582399.0,235265.0
