district,achiev,agriculture_target,msme_target,of_achiev,ops_target,total_prisec_target
Alipurduar,3041.88,1660.87,606.2,110.35,489.61,2756.68
Bankura,7320.05,5143.54,5237.72,63.39,1166.53,11547.79
Birbhum,7108.13,5461.11,4338.51,63.63,1370.78,11170.4
Cooch Behar,5638.68,5135.99,2543.12,63.51,1199.43,8878.53
Dakshin Dinajpur,5135.46,5050.39,5247.47,45.53,980.66,11278.53
Darjeeling,7672.22,1124.66,2651.72,161.63,970.37,4746.75
Hooghly,14471.05,5615.1,5559.22,112.81,1653.14,12827.45
Howrah,14119.23,2505.51,12081.9,89.69,1155.69,15743.1
Jalpaiguri,5863.65,3002.85,3703.47,75.67,1043.0,7749.32
Jhargram,2691.17,2847.49,2622.84,42.89,804.66,6274.99
Kalimpong,749.59,350.84,409.34,85.61,115.45,875.63
Kolkata,60634.7,696.83,19914.39,209.08,8389.78,29000.99
Malda,9930.34,6875.22,3582.04,70.79,3571.07,14028.33
Murshidabad,12308.94,9042.7,8852.53,59.06,2946.98,20842.21
Nadia,11332.3,6977.92,8469.2,64.88,2018.56,17465.68
Paschim Bardhaman,9682.46,369.69,8648.52,100.98,570.34,9588.55
Paschim Medinipur,10451.15,10955.53,6939.96,52.07,2176.92,20072.41
Purba Bardhaman,11908.36,9112.52,6846.23,66.86,1851.04,17809.79
Purba Medinipur,11764.19,7333.65,6391.59,74.5,2066.3,15791.55
Purulia,6825.63,3884.17,3740.0,74.42,1547.48,9171.64
Uttar Dinajpur,5696.86,3953.97,1472.78,84.29,1331.87,6758.62
