district,amount_in_cr,loan_disbursed_in_adopted_msme_cluster_no,loan_disbursed_in_handloom_cluster_no,loan_disbursed_in_kvib_cluster_no,loan_sanctioned_in_adopted_msme_cluster_no,loan_sponsored_sanct_ioned_in_handloom_cluster_no,loan_sponsored_sanct_ioned_in_kvib_cluster_no,proposals_sponsored_generated_in_msme_cluster_no
Alipurduar,0.0,520.0,318.0,0.0,582.0,379.0,0.0,989.0
Bankura,1.63,136.0,45.0,70.0,136.0,45.0,70.0,136.0
Birbhum,0.0,1633.0,0.0,0.0,1633.0,0.0,0.0,1799.0
Cooch Behar,22.46,2185.0,355.0,225.0,2362.0,625.0,521.0,2401.0
Dakshin Dinajpur,0.28,19.0,20.0,15.0,33.0,32.0,20.0,85.0
Darjeeling,0.0,60.0,0.0,0.0,60.0,0.0,0.0,60.0
Hooghly,0.0,94.0,135.0,0.0,94.0,135.0,0.0,94.0
Howrah,0.1,171.0,13.0,5.0,171.0,13.0,5.0,171.0
Jhargram,0.0,14.0,0.0,0.0,14.0,0.0,0.0,14.0
Kalimpong,0.0,14.0,0.0,0.0,14.0,0.0,0.0,44.0
Kolkata,0.24,28.0,0.0,48.0,28.0,0.0,48.0,75.0
Malda,0.04,56.0,93.0,9.0,66.0,182.0,9.0,154.0
Murshidabad,0.0,110.0,446.0,0.0,119.0,530.0,0.0,131.0
Nadia,15.8,1085.0,950.0,72.0,1125.0,1000.0,85.0,1878.0
North 24 Parganas,10.01,141.0,0.0,53.0,158.0,0.0,56.0,220.0
Paschim Bardhaman,0.0,33.0,0.0,0.0,33.0,0.0,0.0,33.0
Paschim Medinipur,132.4,292.0,44.0,3861.0,302.0,44.0,3881.0,1758.0
Purba Bardhaman,7.77,3.0,162.0,227.0,11.0,162.0,229.0,52.0
Purba Medinipur,0.0,92.0,977.0,0.0,92.0,977.0,0.0,110.0
Purulia,4.53,226.0,7.0,213.0,254.0,7.0,224.0,296.0
South 24 Parganas,0.0,70.0,0.0,0.0,76.0,0.0,0.0,122.0
Uttar Dinajpur,0.0,2339.0,58.0,0.0,2339.0,58.0,0.0,2397.0
