district,disbursement_amt,kishore_no_of_a_cs,sanctioned_amt,shishu_no_of_a_cs,tarun_no_of_a_cs,total_no_of_a_cs
Alipurduar,770.74,45467.0,771.95,55880.0,1451.0,102798.0
Bankura,773.49,27529.0,803.97,73116.0,3222.0,103867.0
Birbhum,1838.74,80627.0,1865.45,136211.0,3546.0,220384.0
Cooch Behar,1466.45,89759.0,1476.28,82626.0,3117.0,175502.0
Dakshin Dinajpur,761.34,40930.0,768.53,64788.0,1157.0,106875.0
Howrah,2742.26,152999.0,2757.07,204023.0,3873.0,360895.0
Jalpaiguri,1460.84,78037.0,1475.84,106770.0,3542.0,188349.0
Jhargram,291.85,9747.0,293.61,31006.0,1089.0,41842.0
Kalimpong,49.9,2933.0,50.18,1490.0,130.0,4553.0
Kolkata,3196.04,141054.0,3225.07,178075.0,12350.0,331479.0
Malda,1996.04,113826.0,2025.54,153258.0,3773.0,270857.0
Murshidabad,4720.5,295414.0,4752.59,410139.0,7514.0,713067.0
Nadia,2664.47,135213.0,2678.64,252503.0,4876.0,392592.0
North 24 Parganas,4409.17,218877.0,4447.42,396492.0,9936.0,625305.0
Paschim Medinipur,2066.86,73566.0,2081.84,181796.0,8431.0,263793.0
Purba Bardhaman,1434.76,57069.0,1442.07,145628.0,3757.0,206454.0
Purba Medinipur,2466.98,106700.0,2480.39,197366.0,8132.0,312198.0
South 24 Parganas,2648.82,127945.0,2664.96,242300.0,5614.0,375859.0
Uttar Dinajpur,1624.27,105784.0,1629.51,100683.0,2140.0,208607.0
