district,amount,average_disbursement_amount_in_lakh,disbursement_no,of_achievement_no,outstanding_no,sanction_no,target_2023_24_no
Alipurduar,83.82,2.56,18697.0,164.6,22912.0,14005.0,11359.0
Bankura,73.14,2.3,44079.0,128.6,57828.0,35029.0,34275.0
Birbhum,81.77,3.14,51104.0,104.72,67080.0,45017.0,48800.0
Cooch Behar,124.49,3.57,47424.0,180.15,54502.0,30071.0,26325.0
Dakshin Dinajpur,70.66,2.03,21400.0,131.9,26085.0,17317.0,16225.0
Darjeeling,87.91,3.51,6603.0,109.34,7359.0,6492.0,6039.0
Hooghly,93.35,2.72,42626.0,136.8,49862.0,37643.0,31160.0
Howrah,78.57,2.96,30471.0,101.95,37379.0,30513.0,29888.0
Jalpaiguri,81.13,2.62,29872.0,145.31,36926.0,23830.0,20557.0
Jhargram,66.31,2.51,14286.0,105.82,18788.0,14319.0,13500.0
Kalimpong,103.56,3.95,2974.0,103.8,3360.0,2859.0,2865.0
Kolkata,100.0,1.65,959.0,100.0,3294.0,0.0,0.0
Malda,78.44,2.08,47148.0,147.35,59351.0,35812.0,31998.0
Murshidabad,74.53,2.11,63347.0,178.48,82931.0,45378.0,35493.0
Nadia,100.11,2.44,46887.0,145.23,60511.0,29167.0,32284.0
North 24 Parganas,80.2,2.44,59033.0,123.94,73838.0,42645.0,47629.0
Paschim Bardhaman,74.0,3.04,8506.0,74.87,11205.0,8204.0,11361.0
Paschim Medinipur,88.01,3.44,48057.0,97.47,64043.0,46097.0,49304.0
Purba Bardhaman,80.92,3.33,45732.0,98.35,61455.0,42707.0,46500.0
Purba Medinipur,86.59,4.31,61068.0,114.61,78794.0,59155.0,53285.0
Purulia,68.42,1.9,26945.0,116.14,40063.0,20460.0,23200.0
South 24 Parganas,88.51,2.5,69467.0,144.9,83003.0,36678.0,47942.0
Uttar Dinajpur,106.53,2.23,32253.0,178.23,39474.0,19327.0,18096.0
