district,achievement,no_of_eligible_operative_ca_a_c,no_of_eligible_operative_sb_a_c,no_of_operative_ca_a_c_covered_with_at_least_one_digital_mode,no_of_operative_sb_a_c_covered_with_at_least_one_digital_mode
Alipurduar,84.17,,,,
Bankura,79.06,,,,
Birbhum,80.72,,,,
Cooch Behar,78.75,,,,
Dakshin Dinajpur,76.03,,,,
Darjeeling,81.15,,,,
Hooghly,78.24,102309.0,,,
Jalpaiguri,79.89,,,,
Jhargram,59.19,,921793.0,7044.0,798403.0
Kalimpong,68.08,4367.0,343555.0,2973.0,250848.0
Kolkata,79.08,500854.0,,396095.0,
Malda,78.44,,,,
Murshidabad,81.46,102011.0,,,
North 24 Parganas,80.77,234645.0,11000821.0,189521.0,10104387.0
Paschim Bardhaman,84.45,152610.0,,128878.0,
Paschim Medinipur,75.46,,,,
Purba Bardhaman,80.81,,,,
Purba Medinipur,73.53,146735.0,,107899.0,
Purulia,75.32,,,,
South 24 Parganas,75.83,115318.0,,,
Uttar Dinajpur,82.79,,,,
