district,total_enrolment_uner_social_security_schemes,total_no_of_apy,total_no_of_pmjjby,total_no_of_pmsby,total_no_pmjdy_a_c
Alipurduar,631600.0,59976.0,170353.0,401271.0,594589.0
Bankura,1734751.0,179499.0,385268.0,1169984.0,2268471.0
Birbhum,2224223.0,231682.0,609444.0,1383097.0,2376039.0
Cooch Behar,1472244.0,184833.0,363665.0,923746.0,1653963.0
Dakshin Dinajpur,906748.0,95059.0,225798.0,585891.0,1215140.0
Darjeeling,1121031.0,104835.0,321824.0,694372.0,645710.0
Hooghly,2515141.0,297183.0,596164.0,1621794.0,2436407.0
Howrah,1991137.0,227583.0,468584.0,1294970.0,2081323.0
Jalpaiguri,1505078.0,178125.0,398474.0,928479.0,1556751.0
Jhargram,460528.0,36920.0,111499.0,312109.0,479491.0
Kalimpong,66323.0,6115.0,19446.0,40762.0,31737.0
Kolkata,2449339.0,201304.0,503455.0,1744580.0,968025.0
Malda,2137460.0,275257.0,523834.0,1338369.0,3385674.0
Murshidabad,3818068.0,466780.0,914243.0,2437045.0,4626823.0
Nadia,2455894.0,278356.0,550625.0,1626913.0,3140247.0
North 24 Parganas,4048430.0,431310.0,917862.0,2699258.0,4548132.0
Paschim Bardhaman,1655376.0,64783.0,390649.0,1199944.0,1527664.0
Paschim Medinipur,2187180.0,269382.0,496975.0,1420823.0,2700550.0
Purba Bardhaman,1682923.0,294363.0,522773.0,865787.0,2258736.0
Purba Medinipur,2300321.0,351421.0,501111.0,1447789.0,2618238.0
Purulia,1264758.0,133570.0,302571.0,828617.0,2066522.0
South 24 Parganas,3307855.0,357477.0,754714.0,2195664.0,5067487.0
Uttar Dinajpur,1343192.0,159353.0,330851.0,852988.0,2702430.0
