district,amount,kcc_disbursement_during_01_04_2023_to_31_03_2024_fresh_renewal_no,kcc_outstanding_as_on_31_03_2024_no,of_achievement_no,target_no
Alipurduar,425.23,26435.0,65151.0,68.66,38500.0
Bankura,832.61,120035.0,198842.0,60.62,198000.0
Birbhum,863.06,118294.0,244111.0,49.29,240000.0
Cooch Behar,1476.26,80545.0,170478.0,42.39,190000.0
Dakshin Dinajpur,462.79,51629.0,99754.0,44.89,115000.0
Darjeeling,169.89,15592.0,22170.0,84.28,18500.0
Hooghly,1714.97,271942.0,316589.0,68.85,395000.0
Howrah,374.08,56083.0,68078.0,59.03,95000.0
Jalpaiguri,1107.79,51369.0,110218.0,128.42,40000.0
Jhargram,606.17,67437.0,119389.0,122.61,55000.0
Kalimpong,74.03,10020.0,13429.0,100.2,10000.0
Kolkata,251.84,1197.0,1587.0,,0.0
Malda,655.08,129634.0,136389.0,117.85,110000.0
Murshidabad,850.29,64846.0,210027.0,68.26,95000.0
Nadia,1440.67,125385.0,272055.0,113.99,110000.0
North 24 Parganas,1165.75,176485.0,268876.0,76.73,230000.0
Paschim Bardhaman,523.18,66702.0,92696.0,266.81,25000.0
Paschim Medinipur,1790.41,253359.0,317981.0,103.41,245000.0
Purba Bardhaman,1909.17,139972.0,264391.0,49.99,280000.0
Purba Medinipur,1491.56,421639.0,430227.0,56.22,750000.0
Purulia,347.14,33303.0,106247.0,95.15,35000.0
South 24 Parganas,903.81,159168.0,170084.0,93.63,170000.0
Uttar Dinajpur,807.77,51131.0,205762.0,92.97,55000.0
