district,Total Advance,Overall CD Ratio,cd_ratio_as_on_march,cd_ratio_as_on_march_2024_deposit
Alipurduar,4088.12,54.85,63.23,7453.3
Bankura,11786.95,54.94,52.4,21454.0
Birbhum,19310.37,53.5,47.59,36097.16
Cooch Behar,9109.42,80.39,79.37,11331.57
Dakshin Dinajpur,3802.84,62.42,62.23,6092.77
Darjeeling,16838.19,67.55,65.19,24928.02
Hooghly,27512.3,45.76,41.9,60127.65
Howrah,27601.86,49.14,49.33,56175.54
Jalpaiguri,11813.89,93.16,68.7,12680.75
Jhargram,2291.6,47.39,42.19,4835.4
Kalimpong,1332.61,60.77,50.54,2192.71
Kolkata,411905.97,98.7,64.15,417350.75
Malda,8765.77,58.84,60.43,14897.08
Murshidabad,17391.42,57.06,52.27,30481.64
Nadia,15438.15,50.75,50.02,30420.0
Paschim Bardhaman,25677.56,52.49,46.31,48915.88
Paschim Medinipur,16857.37,51.4,49.32,32796.27
Purba Bardhaman,19310.37,53.5,51.89,36097.16
Purba Medinipur,18717.35,50.82,47.39,36830.19
Purulia,6687.36,49.34,48.84,13554.15
Uttar Dinajpur,6255.72,65.29,61.17,9582.14
