district,camps_by_rural_branches_no_of_total_rural_branches,no_of_camps_conducted,no_of_flcs,no_of_participants_attended,special_camps_by_flcs_target,target,target_specific_camps_by_flcs_target
Alipurduar,51.0,128.0,0.0,0.0,0.0,153.0,0.0
Bankura,168.0,485.0,1.0,6717.0,6.0,504.0,15.0
Birbhum,212.0,721.0,1.0,1297.0,6.0,636.0,15.0
Cooch Behar,136.0,302.0,2.0,648.0,12.0,408.0,30.0
Dakshin Dinajpur,79.0,23.0,2.0,891.0,12.0,237.0,30.0
Darjeeling,72.0,219.0,2.0,691.0,12.0,216.0,30.0
Hooghly,227.0,680.0,1.0,421.0,6.0,681.0,15.0
Howrah,115.0,45.0,2.0,2087.0,12.0,345.0,30.0
Jalpaiguri,79.0,305.0,1.0,696.0,6.0,237.0,15.0
Jhargram,83.0,182.0,1.0,332.0,6.0,249.0,15.0
Kalimpong,12.0,11.0,1.0,522.0,6.0,36.0,15.0
Kolkata,7.0,21.0,1.0,223.0,6.0,21.0,15.0
Malda,189.0,273.0,2.0,132.0,12.0,567.0,30.0
Murshidabad,339.0,941.0,2.0,586.0,12.0,1017.0,30.0
Nadia,176.0,17.0,1.0,0.0,6.0,528.0,15.0
Paschim Bardhaman,102.0,101.0,1.0,261.0,6.0,306.0,15.0
Paschim Medinipur,250.0,473.0,1.0,197.0,6.0,750.0,15.0
Purba Bardhaman,269.0,870.0,1.0,1304.0,6.0,807.0,15.0
Purba Medinipur,277.0,87.0,2.0,1416.0,12.0,831.0,30.0
Purulia,151.0,337.0,1.0,479.0,6.0,453.0,15.0
Uttar Dinajpur,89.0,235.0,1.0,5160.0,6.0,267.0,15.0
