District,Total Minority O/S Loan Amt,Total Minority O/S Loan No.,Jains Amt,Jains No.,Zoroastrians Amt,Zoroastrians No.,Sikhs Amt,Sikhs No.,Buddhists Amt,Buddhists No.,Muslims Amt,Muslims No.,Christians Amt,Christians No.
East Garo Hills,1951.19,977,4.89,1,0,0,5.98,11,30.12,3,1317.01,591,593.19,371
East Jaintia Hills,7839.76,3076,19.33,2,0,0,71.24,2,1.93,1,996.56,203,6750.7,2868
East Khasi Hills,167145.8,43479,740.5,29,0,0,4569.88,741,1052.86,206,10538.46,1790,150244.1,40713
North Garo Hills,783.78,479,0,0,0,0,0.36,1,0.19,1,311.24,74,471.99,403
Ri Bhoi,30076.72,15967,347.92,18,1.05,1,154.56,34,270.88,35,13280.04,2339,16022.27,13540
South Garo Hills,603.88,356,0,0,0,0,2.51,3,1.03,1,55.85,12,544.49,340
West Garo Hills,21245.75,7437,3.54,1,0,0,67.45,24,29.74,11,12843.49,4080,8301.53,3321
West Jaintia Hills,22843.02,7071,214.13,5,0,0,18.36,8,0.19,1,351.88,105,22258.46,6952
West Khasi Hills,9260.92,6659,0,0,0,0,13.91,8,11.01,8,442.7,179,8793.3,6464
