district,NRLM NPA Amt. %,NRLM NPA Amt.,No. NRLM NPA,Amt. regular NRLM Ir- A/C,NRLM No. Irregular A/C,NRLM Amt. O/S,NRLM O/S No.,Self-Help Current Amount Year Group,Group Current No. Self-Help Year
East Garo Hills,21.39,270.89,383,74.64,89,1266.66,1062,325.39,239
East Jaintia Hills,0.02,0.49,1,0.49,1,2683.22,1529,155.5,85
East Khasi Hills,5.09,276.63,234,84.68,57,5437.33,3419,469.94,239
Eastern West Khasi Hills,2.02,50.77,44,18.82,11,2509.97,1189,267.56,91
North Garo Hills,15.35,215.14,298,76.34,90,1401.34,1175,362.22,229
Ri Bhoi,4.72,135.91,80,116.05,72,2879.67,1909,215.87,80
South Garo Hills,32.72,249.5,321,133.73,162,762.47,766,59.2,81
South West Garo Hills,3.56,55.74,63,26.99,34,1567.66,1049,243.5,101
South West Khasi Hills,5.04,62.8,57,81,58,1245.48,804,57.86,31
West Garo Hills,11.85,439.24,474,181.18,203,3707.93,2847,619.26,372
West Jaintia Hills,3.43,116.31,60,35.84,24,3389.51,1899,262.4,104
West Khasi Hills,0.3,7.35,9,25.14,14,2476.65,1145,166.63,69
