District,NPS Amt.% NPA,Total Non-Priority NPA Amt,Tot NPA Prio No. Sec Non,Total NPS O/S Amt,Total NPS O/S No.,Other Amt (NPS),Other No. (NPS),Personal Loan Amt,Personal Loan No.,Housing Amt (NPS),Housing No. (NPS),Education Amt (NPS),Education No. (NPS),Agriculture Amt (NPS),Agriculture No. (NPS)
East Garo Hills,1.82,457.03,236,25106.29,7048,20343.29,5578,3558.65,1234,1164.65,92,0,0,39.7,144
East Jaintia Hills,1.31,245.81,182,18831.7,6034,13306.88,4659,3867.5,1330,1657.32,45,0,0,0,0
East Khasi Hills,0.54,3858.35,2394,720697.52,112317,524517.02,85511,92621.45,22362,92249.36,3859,11277.86,525,31.83,60
North Garo Hills,1.42,319.81,154,22562.96,5381,20394.45,4700,1503.23,603,665.28,78,0,0,0,0
Ri Bhoi,1.5,2244.46,1152,149190.53,29281,117381.05,24755,9014.8,3003,22513.23,1504,280.7,11,0.75,8
South Garo Hills,1.77,218.27,136,12316.22,2492,10270.51,1966,1193.4,461,852.31,65,0,0,0,0
West Garo Hills,2.14,2351.8,1553,110096.83,28390,82061.51,22247,13954.24,4922,13624.22,958,387.21,9,69.65,254
West Jaintia Hills,0.99,449.51,320,45527.77,11408,30789.38,7882,10749.13,3124,3877.01,180,92.93,3,19.32,219
West Khasi Hills,0.63,98.37,58,15516.08,4165,10698.73,2776,4172.47,1339,625.72,48,19.16,2,0,0
