District,Total Enrolment,APY Enrolment,PMSBY Renewals,PMSBY Eligible Cases,PMSBY Enrolment,PMJJBY Renewals,PMJJBY Eligible Cases,PMJJBY Enrolment
East Garo Hills,39877,2139,24729,90768,27082,8041,58406,10656
East Jaintia Hills,91044,3145,35075,120274,48685,20495,96964,39214
East Khasi Hills,393864,23163,184782,938061,239351,87525,703772,131350
Eastern West Khasi Hills,28470,1294,22161,84232,15861,13466,66694,11315
North Garo Hills,64908,10779,41042,117763,40007,13768,67839,14122
Ri Bhoi,131404,6328,77142,274040,78499,35785,206942,46577
South Garo Hills,30140,2142,17813,73647,19269,6513,47110,8729
South West Garo Hills,83183,5071,54327,109046,58343,14830,62172,19769
South West Khasi Hills,27239,961,16086,62950,16677,6462,46485,9601
West Garo Hills,223589,17414,138740,400571,149976,40485,244571,56199
West Jaintia Hills,160020,5596,54710,257422,94593,26849,203591,59831
West Khasi Hills,67876,1717,26005,124806,39616,14558,98835,26543
