District,SUI Amt. % NPA,SUI NPA No.,SUI O/S Amt,SUI O/S No.,SUI Total Disbursement Amt (CY),SUI Total Disbursement No. (CY),ST Male Account Amt (CY),ST Male Account No. (CY),SC Male Account Amt (CY),SC Male Account No. (CY),Female Account Amt (CY),Female Account No. (CY)
East Garo Hills,51.42,1,36.87,4,0,0,0,0,0,0,0,0
East Jaintia Hills,19.03,8,1218.84,48,15.34,2,0,0,0,0,15.34,2
East Khasi Hills,2.09,14,3433.59,262,865.17,80,473.96,45,20.55,4,370.66,31
North Garo Hills,0,0,32.96,3,0.25,2,0.18,1,0,0,0.07,1
Ri Bhoi,3.98,6,874.25,47,280.28,20,134.65,7,0,0,145.63,13
South Garo Hills,0,0,39.66,3,0,0,0,0,0,0,0,0
South West Garo Hills,3.85,1,272.11,11,0.2,1,0,0,0,0,0.2,1
South West Khasi Hills,0,0,17.87,1,0,0,0,0,0,0,0,0
West Garo Hills,6.89,4,849.81,60,191.85,29,43.88,10,0,0,147.97,19
West Jaintia Hills,15.89,3,552.09,32,84.83,7,1.28,1,0,0,83.55,6
West Khasi Hills,39.72,2,18.38,4,10.93,2,10.07,1,0,0,0.86,1
