district,Total Disb Amt. MUDRA,Total Disb No. MUDRA,Tarun Amt. Plus,Tarun Plus No.,Tarun Amt,Tarun No,Kishore Amt,Kishore no,Sishu amt,Sishu No
East Garo Hills,413.3,187,0,0,242.99,39,139.07,80,31.24,68
East Jaintia Hills,488.18,144,0,0,273.13,36,202.4,78,12.65,30
East Khasi Hills,4097.2,2395,36.56,3,1412.44,216,2259.83,1530,388.37,646
Eastern West Khasi Hills,135.26,41,0,0,75.91,10,56.07,23,3.28,8
North Garo Hills,352.88,309,0,0,47.68,8,201.31,85,103.89,216
Ri Bhoi,1424.76,1165,59.99,4,429.23,79,688.85,448,246.69,634
South Garo Hills,148.88,170,0,0,42.82,6,38.3,21,67.76,143
South West Garo Hills,250,199,0,0,54.42,8,125.08,46,70.5,145
South West Khasi Hills,41.28,18,0,0,10,1,29.6,13,1.68,4
West Garo Hills,1493.25,1164,14.05,1,533.87,76,651.87,393,293.46,694
West Jaintia Hills,642.2,370,0,0,192.73,26,407.12,245,42.35,99
West Khasi Hills,327.72,138,0,0,152.09,25,170.15,100,5.48,13
