District,Total Minority Disbursement Amt,Total Minority Disbursement No.,Jains Amt,Jains No.,ANS Amt. ZORASTRI,No. TRIANS ZORAS,Sikhs Amt,Sikhs No.,Buddhists Amt,Buddhists No.,Muslims Amt,Muslims No.,Christians Amt,Christians No.
East Garo Hills,532.71,294,0,0,0,0,0.5,1,0,0,474.41,238,57.8,55
East Jaintia Hills,1072.53,363,0,0,0,0,75,1,0,0,220.08,49,777.45,313
East Khasi Hills,1908317.18,4509,556.88,8,0.51,1,1895801.73,104,44.6,16,1246.35,231,10667.11,4149
North Garo Hills,97.24,87,0,0,0,0,0,0,0,0,47.65,15,49.59,72
Ri Bhoi,2664.83,1175,204.82,2,0,0,10.61,4,16.5,3,1247.4,224,1185.5,942
South Garo Hills,41.2,62,0,0,0,0,1.08,1,1.03,1,1.16,3,37.93,57
West Garo Hills,2806.6,881,0,0,0,0,10.45,6,11.89,3,2040.16,566,744.1,306
West Jaintia Hills,2032.64,683,205,2,0,0,6,1,0,0,15.35,5,1806.29,675
West Khasi Hills,932.26,630,0,0,0,0,0,0,0.18,3,56.79,51,875.29,576
