district,Export No.,Export Amt.,Education PS No.,Education PS Amt.,Housing PS No.,Housing PS Amt.,Social Infra No.,Social Infra Amt.,Renewable No.,Renewable Amt.,Other PS No.,Other PS Amt.,OPS Total O/S No.,OPS Total O/S Amount
Baksa,0,0,117,381.49,1666,11167.81,3,120.73,100,31.9,1278,739.18,3164,12441.11
Barpeta,0,0,355,1018.11,4917,31283.31,527,317.98,542,267.16,1724,1937.99,8065,34824.55
Biswanath,0,0,133,345.25,1802,13561.05,551,68.61,2,118.02,704,2455.3,3192,16548.23
Bongaigaon,0,0,133,475.61,3346,18117.07,3757,952.66,126,60.93,6941,3213.55,14303,22819.82
Cachar,0,0,1062,2912.59,5823,27822.23,37,9.36,16,5.17,2423,4904.13,9361,35653.48
Charaideo,0,0,70,205.7,522,4321.52,2102,149.66,88,31.99,192,1921.66,2974,6630.53
Chirang,0,0,66,224.59,1073,7408.18,58,17.1,157,88.69,425,107.79,1779,7846.35
Darrang,0,0,315,842.97,2386,14379.94,1811,307.05,60,31.1,908,1397.3,5480,16958.36
Dhemaji,0,0,157,383.17,3014,16528.92,700,121.61,36,10.9,255,391.67,4162,17436.27
Dhubri,0,0,191,574.53,3248,17707.61,1,0,242,132.65,764,1372.78,4446,19787.57
Dibrugarh,0,0,903,2834.02,7331,50738.64,7362,787.72,26,9.67,2918,7628.56,18540,61998.61
Dima Hasao,0,0,25,67.06,967,4806.79,2,1.2,0,0,379,377.4,1373,5252.45
Goalpara,0,0,130,448.59,340,1935.61,0,0,494,325.55,1511,1520.09,2475,4229.84
Golaghat,0,0,306,881.96,4306,22770.37,2068,259.8,11,2.52,7437,3563.85,14128,27478.5
Hailakandi,0,0,92,196.99,2237,8019.72,1,4.49,29,14.68,538,885.47,2897,9121.35
Hojai,0,0,128,355.72,1439,8335.15,1,10.7,0,0,1222,12469.58,2790,21171.15
Jorhat,0,0,701,2261.25,8240,52708.59,5689,1272.61,0,0,14043,7113.24,28673,63355.69
Kamrup Metro,0,0,1180,3488.51,5348,31578.38,8603,1881.08,25,11.02,19685,7418,34841,44376.99
Karbi Anglong,0,0,114,298.27,2950,21760.92,2,4.01,1,0.08,683,667.13,3750,22730.41
Karimganj,0,0,109,304.97,1406,6816.08,0,0,15,3.06,758,6083.76,2288,13207.87
Kokrajhar,0,0,92,267.37,1388,10510.71,15,11.94,58,41.53,246,820.58,1799,11652.13
Lakhimpur,0,0,278,724.27,3935,25281.9,1729,222.76,126,51.98,1054,7934.34,7122,34215.25
Majuli,0,0,45,89.86,235,1106.11,1224,159.97,0,0,388,6536.42,1892,7892.36
Morigaon,0,0,128,366.85,1931,11241.41,0,0,32,12.72,974,13924.99,3065,25545.97
Nagaon,0,0,335,1067.06,5954,33870.37,1280,172.77,4,2.45,15733,12379.8,23306,47492.45
Nalbari,0,0,323,954.67,4208,22733.34,1733,198.41,7,3.54,2051,3334.16,8322,27224.12
Sivasagar,0,0,314,807.47,4021,22201.02,1606,246.3,22,8.93,6692,5884.8,12655,29148.52
Sonitpur,0,0,423,1157.35,4719,29218.21,3156,438.12,6,3.92,6613,11944.83,14917,42762.43
South Salmara,0,0,13,55.75,204,1403.39,0,0,9,6.54,0,0,226,1465.68
Tinsukia,0,0,547,1706.38,4361,27392.01,6068,632.08,32,8.19,2545,6812.38,13553,36551.04
Udalguri,0,0,205,475.38,2538,15137.38,21,15.36,0,0,941,534.34,3705,16162.46
West Karbi Anglong,0,0,15,35.44,711,6342.1,0,0,11,0.92,2,3.61,739,6382.07
