district,SC Disb No,SC Disb Amt,SC O/S No,SC O/S Amt,ST Disb No,ST Disb Amt,ST O/S No,ST O/S Amt
Baksa,1106,1175.15,5473,4545.32,4819,5836.39,18372,20164.86
Barpeta,7093,3212.19,8974,7172.67,2384,1712.26,6524,5359.66
Biswanath,3354,2269.13,6922,5084.63,3068,3003.45,12843,8406.71
Bongaigaon,4562,2644.69,7351,7193.68,1481,3314.76,5215,9002.68
Cachar,23865,11847.7,27274,21697.51,2188,2150.83,7609,9169.67
Charaideo,370,214.96,1547,1225.85,343,320.04,1395,1194.34
Chirang,1627,1283.33,2383,2885.92,2910,6840.78,16572,22193.56
Darrang,1246,752.42,3425,2943.59,818,691.39,3148,2925.67
Dhemaji,1102,1237.6,6199,4973.26,6121,10840.94,26387,30706.58
Dhubri,5259,2838.42,10163,7452.39,778,779.96,2985,2949.01
Dibrugarh,4198,3849.19,15978,15278.8,4727,12879.02,18991,22992.22
Dima Hasao,159,288.3,1298,1889.83,1643,3569.81,4346,9779.18
Goalpara,2099,1323.65,5746,4378.87,5818,3804.57,17506,12849.34
Golaghat,6846,3298.79,16977,10613.85,4942,3405.69,18373,13407.95
Hailakandi,4085,2088.26,5650,4819.78,356,311.33,1630,1735.12
Hojai,5189,3088.59,9924,7094.11,1550,1423.28,4876,4681.85
Jorhat,4216,2689.61,15806,11827.09,2986,3111.75,18981,14341.13
Kamrup Metro,8818,5005.45,15410,12054.11,6563,5614.85,16280,14923.96
Karbi Anglong,418,758.09,1378,2568.84,5640,10908.93,20320,33698.98
Karimganj,15087,14831.66,13217,7351.8,1405,728.76,2642,2107.41
Kokrajhar,1617,1373.06,3666,3772.96,5121,11238.44,23120,37184.08
Lakhimpur,4395,3022.33,17569,14070.6,6551,7018.4,26829,28774.85
Majuli,212,242.87,1343,1011.91,270,553.56,3400,2657.34
Morigaon,4920,2302.82,10316,6877.69,5539,3028.09,13793,9058.39
Nagaon,10955,5706.61,20294,15134.77,7122,3839.4,14308,11666.88
Nalbari,2679,1272.57,6052,4816.96,1406,1293.38,5442,4710.77
Sivasagar,2902,2563.25,9376,8825.59,2003,2515.46,7234,8303.98
Sonitpur,6047,3354.32,11004,10320.65,5590,3691.12,13015,11553.52
South Salmara,13,12.73,83,126.65,12,15.72,56,80.57
Tinsukia,2197,1606.5,6496,7817.51,3374,4493.23,9969,14078.97
Udalguri,842,904.08,4012,2969.07,5312,7229.35,34245,35416.92
West Karbi Anglong,71,188.22,216,568.56,944,2477.96,3489,8021.8
