District,Christians No.,Christians Amt,Muslims Amt,Buddhists No.,Buddhists Amt,Sikhs No.,Sikhs Amt,Zoroastrians No.,Zoroastrians Amt,Jains No.,Jains Amt,Tot Loan to Minority O/S No.,Tot Loan to Minority O/S Amt
Baksa,182,247.68,18812.02,23,47.67,4,16.48,0,0,27,34.31,18295,19158.16
Barpeta,144,227,74850.25,48,28.05,7,47.29,3,3.79,8,7.1,111637,75163.48
Biswanath,578,488.05,9402.49,23,31.78,14,57.02,4,2.91,14,141.83,16147,10124.08
Bongaigaon,1945,1104.69,30074.93,9,34.13,22,56.11,1,1.29,17,101.9,48469,31373.05
Cachar,2389,3323.67,87373.32,46,98.05,31,74.09,3,0.4,30,166.83,127375,91036.36
Charaideo,189,80.31,2061.85,74,78.11,13,23.4,3,6.17,7,1.84,3269,2251.68
Chirang,3394,2363.17,8641.95,101,56.8,3,2.28,4,4.6,4,2.48,16430,11071.28
Darrang,291,368.27,47582.06,62,100.01,5,32.51,1,0.3,17,62.92,80337,48146.07
Dhemaji,127,116.06,898.32,8,10.24,15,28.98,0,0,1,5.46,1681,1059.06
Dhubri,594,647.55,84748.33,27,15.78,13,36.76,2,1.28,21,126.4,121182,85576.1
Dibrugarh,1851,2564.86,15956.28,205,674.02,266,1218.81,12,8.12,45,430.74,19631,20852.83
Dima Hasao,1942,5049.06,997.61,4,12.4,3,14.75,0,0,0,0,2510,6073.82
Goalpara,6874,3735.26,35319.04,29,14.11,5,1.64,12,2.41,17,60.58,55792,39133.04
Golaghat,2272,1295.14,13287.05,206,172.97,73,140.24,6,3.17,22,79.26,28044,14977.83
Hailakandi,237,307.77,30809.77,5,7.61,1,1.38,0,0,1,0.1,38271,31126.63
Hojai,370,425.35,26799.78,10,18.11,25,41.92,0,0,1,0.18,42234,27285.34
Jorhat,1569,3453.37,13069.77,240,688.88,113,541.14,2,2.83,42,479.68,18506,18235.67
Kamrup Metro,1491,1678.41,56875.84,127,94.81,58,418.18,1,1.75,37,191.03,90856,59260.02
Karbi Anglong,3440,3065.14,1355.03,56,174.72,6,11.27,1,0.25,10,42.94,4695,4649.35
Karimganj,1051,582.5,35772.87,22,26.63,12,33.17,0,0,5,6.49,62903,36421.66
Kokrajhar,4673,2759.37,14845.65,5,2.02,11,10.16,2,38.51,8,9.24,31694,17664.95
Lakhimpur,1590,877.73,20010.23,31,53.66,35,45.38,22,12.51,2,2.26,36658,21001.77
Majuli,9,2.56,366,1,0.18,0,0,0,0,0,0,638,368.74
Morigaon,80,137.9,27280.37,17,60.43,4,4.23,3,3.74,8,35.32,51088,27521.99
Nagaon,984,924.3,104362.89,26,26.66,141,278.32,32,10.34,39,136.1,190864,105738.61
Nalbari,79,70.61,26685.35,44,24.66,34,60.5,3,2.37,10,37.81,46541,26881.3
Sivasagar,777,794.29,23750.89,102,143.85,55,81.84,2,0.91,21,97.66,25393,24869.44
Sonitpur,1919,2789.18,29500.37,168,494.69,59,136.6,4,1.19,22,131.61,55937,33053.64
South Salmara,8,3.73,4921.02,0,0,0,0,0,0,0,0,4139,4924.75
Tinsukia,1840,3543.4,9565.24,493,998.35,157,1303.2,3,1.12,28,333.08,13689,15744.39
Udalguri,5922,8089.16,6761.78,18,8.49,5,5.62,6,3.29,4,1.1,12608,14869.44
West Karbi Anglong,392,666.33,105.02,1,0.09,5,1.63,1,0.28,0,0,437,773.35
