district,Disbursement No.,Disbursement Amt.,Oustanding No.,Oustanding Amt.
Baksa,1212,421.99,32045,7489.58
Barpeta,2027,1114.7,30666,9311.07
Biswanath,8,8.89,15231,3372.16
Bongaigaon,1368,888.63,10939,3589.53
Cachar,340,154.88,7772,2446.65
Charaideo,56,19.83,6040,1120.32
Chirang,57,19.74,5096,1050.95
Darrang,595,269.24,15634,4430.4
Dhemaji,213,96.25,19406,4815.18
Dhubri,6,16.64,5731,1242.1
Dibrugarh,200,141.63,38357,8978.72
Dima Hasao,24,22.8,350,243.44
Goalpara,132,326.51,14856,4431
Golaghat,881,493.72,29088,8289.18
Hailakandi,0,0,1630,297.65
Hojai,2,1.54,10806,2560.67
Jorhat,4041,1702.41,53003,13647.38
Kamrup Metro,10276,3798.9,64989,16870.43
Karbi Anglong,125,183.04,12464,2755.22
Karimganj,42,53.19,5892,1880.62
Kokrajhar,79,60.85,131,110.5
Lakhimpur,229,145.04,35677,10256.88
Majuli,345,112.29,4046,693.8
Morigaon,64,123.75,9880,2949.75
Nagaon,1595,1200.33,31461,11316.98
Nalbari,2216,1171.84,23451,6648.66
Sivasagar,322,272.44,24372,7933.59
Sonitpur,2312,928.27,31858,6626.81
South Salmara,0,0,6,2.92
Tinsukia,853,437.44,22566,5290.91
Udalguri,98,52.42,12559,2961.83
West Karbi Anglong,21,30.9,796,293
