district,Export No,Export Amt,Education PS No,Education PS Amt,Housing PS No,Housing PS Amt,Social Infra No,Social Infra Amt,Renewable No,Renewable Amt,Other PS No,Other PS Amt,Tot Other (PS) NPA No.,Tot Other (PS) NPA Amt.
Baksa,0,0,14,45.47,246,561.54,0,0,88,29.5,58,83.28,406,719.79
Barpeta,0,0,38,126.22,172,646.73,0,0,528,263.58,460,227.72,1198,1264.25
Biswanath,0,0,20,51.49,92,252.76,0,0,0,0,64,121.95,176,426.2
Bongaigaon,0,0,12,24.66,24,109.67,67,8.65,126,60.93,64,122.02,293,325.93
Cachar,0,0,67,146.62,66,293.15,0,0,11,4.9,328,192.82,472,637.49
Charaideo,0,0,10,46.37,23,172.46,0,0,88,31.99,22,102.21,143,353.03
Chirang,0,0,14,31.25,32,34.92,1,0.51,157,88.69,19,14.39,223,169.76
Darrang,0,0,19,38.5,157,360.48,1,0.11,57,29.81,73,101.21,307,530.11
Dhemaji,0,0,23,58.7,45,134.07,0,0,30,10.86,27,29.15,125,232.78
Dhubri,0,0,25,70.44,87,241.43,0,0,242,132.65,399,431.75,753,876.27
Dibrugarh,0,0,72,177.53,101,841.67,2505,325.2,26,9.67,1037,588.46,3741,1942.53
Dima Hasao,0,0,2,6.46,8,24.54,0,0,0,0,3,4,13,35
Goalpara,0,0,16,51.27,81,192.51,0,0,494,325.55,84,110.88,675,680.21
Golaghat,0,0,25,54.96,25,91.13,227,22.84,11,2.52,896,258.68,1184,430.13
Hailakandi,0,0,7,9.71,18,68.68,0,0,29,14.68,93,67.69,147,160.76
Hojai,0,0,8,15.26,18,95.35,0,0,0,0,50,548.6,76,659.21
Jorhat,0,0,44,94.39,114,431.17,1119,131.18,0,0,2561,628.58,3838,1285.32
Kamrup Metro,0,0,51,115.39,189,568.38,99,17.86,25,11.02,375,161.42,739,874.07
Karbi Anglong,0,0,16,30.27,24,39.64,0,0,1,0.08,205,78.72,246,148.71
Karimganj,0,0,8,24.19,34,158.73,0,0,12,3.06,26,251.64,80,437.62
Kokrajhar,0,0,12,23.42,32,79.09,0,0,58,41.53,95,116.05,197,260.09
Lakhimpur,0,0,25,64.07,95,631.78,21,11.65,119,49.58,236,666.32,496,1423.4
Majuli,0,0,5,10.99,3,14,0,0,0,0,19,286.34,27,311.33
Morigaon,0,0,14,48.42,114,370.65,0,0,32,12.72,37,606.31,197,1038.1
Nagaon,0,0,46,108.1,154,386.16,73,7.36,4,2.45,682,450.01,959,954.08
Nalbari,0,0,46,94.56,371,992.03,9,0.93,5,3.37,112,147.08,543,1237.97
Sivasagar,0,0,22,43.72,59,354.53,802,97.92,22,8.93,1748,525.21,2653,1030.31
Sonitpur,0,0,57,116.49,255,681.17,440,41.77,4,1.44,605,662.73,1361,1503.6
South Salmara,0,0,8,45.58,19,47.13,0,0,9,6.54,0,0,36,99.25
Tinsukia,0,0,47,79.85,44,240.64,485,62.83,32,8.19,603,323.5,1211,715.01
Udalguri,0,0,41,96.66,51,130.73,0,0,0,0,168,56.33,260,283.72
West Karbi Anglong,0,0,0,0,10,3.67,0,0,11,0.92,2,3.61,23,8.2
