district,Farm Credit Crop No,Farm Credit Crop Amt,Farm Credit Term Loan No,Farm Credit Term Loan Amt,Agri Infra No,Agri Infra Amt,Ancillary No,Ancillary Amt,Agri Total O/S No.,Agri Total O/S Amount
Baksa,28184,16729.26,22477,10978.27,246,121.61,430,671.18,51337,28500.32
Barpeta,41737,21978.48,77991,31400.33,866,592.55,2778,2917.54,123372,56888.9
Biswanath,26739,14154.89,31138,14872.51,596,478.08,1870,2811.76,60343,32317.24
Bongaigaon,15165,7817.97,23125,10139.13,578,266.42,1847,2138.23,40715,20361.75
Cachar,48008,27822.39,55767,28079.52,1599,1755.57,8394,10882.53,113768,68540.01
Charaideo,10600,5672.06,12254,5520.48,189,155.44,529,848.12,23572,12196.1
Chirang,15909,7859.36,7440,4487.9,2635,1336.29,1322,921.7,27306,14605.25
Darrang,32269,16992.47,46797,20582.82,379,260.48,2034,3306.71,81479,41142.48
Dhemaji,24913,14099.26,18085,7801.77,237,319.54,1346,1687.65,44581,23908.22
Dhubri,29362,15129.75,46005,22227.19,6938,3787.12,5878,4122.37,88183,45266.43
Dibrugarh,66431,39674.39,76109,37195.26,1435,1078.35,2973,12062.72,146948,90010.72
Dima Hasao,2047,670.49,987,687.97,11,13.81,95,127.2,3140,1499.47
Goalpara,26159,11609.97,26674,13561.18,1060,558.25,1090,1444.42,54983,27173.82
Golaghat,58166,31260.24,99592,37873.17,4284,2266.73,3139,8635,165181,80035.14
Hailakandi,17958,8809.27,11552,5348.84,260,304.34,1454,1451.58,31224,15914.03
Hojai,21079,10545,29194,13461.75,2178,1271.38,5422,4720.34,57873,29998.47
Jorhat,42124,21313.94,88000,30826.97,4937,2615.01,2576,27614.7,137637,82370.62
Kamrup Metro,66782,36186.14,73791,29575.17,663,574.79,2473,5508.1,143709,71844.2
Karbi Anglong,28748,12510.76,12443,4741.43,22,26.92,672,385.11,41885,17664.22
Karimganj,25059,14980.71,35092,15438.81,912,925.1,6499,7243.83,67562,38588.45
Kokrajhar,22392,11523.17,9663,5970.81,3881,1736.44,1144,472.4,37080,19702.82
Lakhimpur,53603,32533.9,56762,22940.42,873,765.1,3756,4434.5,114994,60673.92
Majuli,5020,2351.22,2321,1077.99,23,23.73,192,295.79,7556,3748.73
Morigaon,38400,22598,54141,24616.88,3141,1974.03,5260,6430.48,100942,55619.39
Nagaon,80391,43814.27,142759,55689.25,4361,2825.44,8970,9310.44,236481,111639.4
Nalbari,27525,12360,56435,21465.68,454,279.77,1037,2693.67,85451,36799.12
Sivasagar,26212,13123.23,70983,27300.93,391,352.18,2656,4085.12,100242,44861.46
Sonitpur,31129,18745.8,68730,30198.35,2485,1242.45,2527,5275.13,104871,55461.73
South Salmara,2172,710.18,661,672.24,0,0,0,0,2833,1382.42
Tinsukia,47323,32950.19,47201,35094.26,805,4932.61,3445,12190.18,98774,85167.24
Udalguri,34177,20287.35,16975,8429.89,267,83.79,336,169.42,51755,28970.45
West Karbi Anglong,10813,3817.73,2729,1219.27,1,0,59,45.57,13602,5082.57
