district,NRLM O/S No.,NRLM O/S Amt.,NRLM Irregular A/C No,NRLM Irregular A/C Amt,NRLM NPA NO,NRLM NPA AMT,NULM O/S No.,NULM O/S Amt.,NULM NPA NO,NULM NPA AMT,PMEGP O/S No.,PMEGP O/S Amt.,PMEGP NPA NO,PMEGP NPA AMT,SHG O/S No.,SHG O/S Amt.,SHG NPA NO,SHG NPA AMT,SUI O/S No.,SUI O/S Amt.,SUI NPA NO,SUI NPA AMT
Baksa,7987,6152.67,970,1101.78,285,248.26,14,38.6,0,0,9971,9228.62,3305,3290.39,16728,15007.8,2842,1684.75,299,2776.47,30,268.17
Barpeta,2559,2263.19,344,305.13,227,167.18,18,21.31,0,0,887,1463.32,566,935.89,4436,3807.38,1491,1003.99,51,840.94,1,27.22
Biswanath,2753,2637.24,775,742.14,203,172.17,17,13.64,0,0,242,359.57,157,219.48,5415,4049.44,1844,966,15,208.62,0,0
Bongaigaon,1275,1562.61,332,408.3,32,21.22,61,47.89,10,4.5,505,678.64,417,551.53,1802,2031.89,229,91.08,32,472.47,5,29.84
Cachar,1118,856.05,249,161.49,34,14.29,40,31.46,0,0,702,1187.1,474,716.37,2609,1712,1109,610.84,46,606.43,1,9.86
Charaideo,1202,998.28,222,186.67,104,37.12,4,2.46,0,0,182,404.08,106,220.71,1775,1374.6,280,155.77,10,95.38,0,0
Chirang,1825,1550.78,278,194.41,55,20.3,37,31.8,1,1.87,1544,1938.96,1029,1266.19,2278,1887.93,576,522.03,14,385.4,0,0
Darrang,1549,1710.93,299,361.55,145,133.92,16,9.94,5,2.76,906,1428.02,685,1025.89,3393,3085.33,1382,921.09,18,220.85,3,39.48
Dhemaji,2159,1706.94,407,345.47,231,78.3,11,8.61,0,0,684,1497.8,374,641.72,3261,2315.99,1049,473.17,4,47.18,0,0
Dhubri,1793,1552,318,173.17,202,40.05,25,25.46,5,3.82,1450,1750.15,847,925.09,3160,2250.41,1367,637.44,23,379.08,1,3.92
Dibrugarh,2602,2395.35,426,333.8,173,47.76,56,54.53,1,1.3,942,1753.84,554,916.34,3821,3239.35,475,224.38,160,2310.91,6,92.51
Dima Hasao,256,274.3,217,241.6,11,7.12,7,7.77,0,0,193,254.23,52,47.8,485,367.48,12,8.79,12,89.28,0,0
Goalpara,2006,1715.45,464,443.23,138,56.39,19,21.26,0,0,891,1106.91,576,766.23,3540,2633.41,1129,578.64,7,47.84,0,0
Golaghat,2657,3116.17,414,446.01,66,27.58,87,103.92,0,0,488,856.14,356,572.1,3957,4421.4,527,257.07,48,772.64,0,0
Hailakandi,1096,893.4,216,153.66,142,45.6,35,43.28,2,4.16,458,701.38,286,405.11,1682,1133.68,716,329.69,19,250.49,3,13.57
Hojai,1063,975.59,192,230.37,92,37.11,3,1.12,0,0,178,350.37,56,93.84,1250,1122.87,255,157.46,6,26.83,1,0.65
Jorhat,2178,2529.42,381,371.25,61,41.48,116,85.55,0,0,434,704.52,262,359.77,3268,3312.57,634,440.59,48,526.85,0,0
Kamrup Metro,3389,3356.85,369,375.6,545,434.47,14,8.02,0,0,1158,1617.91,769,1009.87,5117,4183.38,2107,1302.52,38,351.73,2,0.69
Karbi Anglong,1720,1401.38,1127,1029.19,177,90.52,3,8.24,0,0,263,255.72,165,113.92,3118,1738.83,174,88.58,16,318.3,0,0
Karimganj,1076,765.19,286,139.25,86,32.08,61,35.68,2,0.38,484,756.04,222,324.2,2383,1389.77,1314,572.94,10,136.63,2,1.76
Kokrajhar,1093,1234.58,242,207.36,74,25.12,12,7.21,0,0,1801,2204.11,1353,1562.64,2067,2117.94,811,707.89,11,277.4,0,0
Lakhimpur,3222,2788.36,484,470.89,367,172.83,64,79.67,6,2.86,539,1075.8,380,737.65,4296,3603.78,1055,636.28,33,430.23,0,0
Majuli,464,380.54,24,45.53,53,34.09,0,0,0,0,62,82.07,48,62.2,705,516.81,272,134.84,3,53.88,0,0
Morigaon,1528,1260.9,227,236.76,296,225.99,15,10.11,1,0.66,541,858.01,368,551.44,3835,2583.12,1605,1000.5,11,93.9,2,16.72
Nagaon,4015,3921.35,796,665.73,262,108.39,24,19.71,3,1.98,1015,1981.62,614,935.02,5203,4860.32,1141,694.91,46,493.9,6,46.2
Nalbari,2802,3634.22,603,895.03,146,72.68,85,115.95,2,2.46,978,1655.16,668,1152.31,4942,5548.51,1033,505,16,316.83,0,0
Sivasagar,1626,1583.11,296,193.35,149,52.46,58,75.8,1,1.75,486,1118.29,204,426.87,2628,2516.09,452,328.63,63,1001.82,3,26.17
Sonitpur,3749,3778.57,369,420.18,329,125.13,28,30.62,2,0.05,1055,1997.53,522,859.16,5164,4227.5,1939,918.63,54,807.61,4,36.44
South Salmara,281,179.31,47,48.63,138,27.05,0,0,0,0,380,424.09,316,360.89,338,213.27,192,57.31,0,0,0,0
Tinsukia,2635,2593.48,370,352.38,78,31.41,73,83.37,6,6.39,764,1241.57,486,768.79,3228,2614.5,499,220.25,65,865.35,2,19.67
Udalguri,1374,1503.85,165,178.14,77,73.87,4,5.05,0,0,1639,2609.19,1366,2250.44,2654,2395.16,935,662.12,6,86.2,1,0.9
West Karbi Anglong,864,606.77,481,401.01,171,89.59,0,0,0,0,20,20.72,11,10.09,2164,966.73,174,92.21,1,20.02,0,0
