district,Target No. of Projects,CY SANCTION A/C No.,CY SANCTION Amt.,CY DISBURSED A/C No.,CY DISBURSED Amt.,PMEGP O/S No.,PMEGP O/S Amt.,PMEGP NPA No.,PMEGP NPA Amt.
Baksa,167,71,224.48,87,239.34,9971,9228.62,3305,3290.39
Barpeta,233,43,153.44,61,106.34,887,1463.32,566,935.89
Biswanath,167,26,81.89,28,540.24,242,359.57,157,219.48
Bongaigaon,167,15,27.14,22,31.24,505,678.64,417,551.53
Cachar,167,54,230.49,54,146.32,702,1187.1,474,716.37
Charaideo,167,5,20.84,9,31.34,182,404.08,106,220.71
Chirang,167,53,82.12,52,72.01,1544,1938.96,1029,1266.19
Darrang,167,22,49.46,68,83.21,906,1428.02,685,1025.89
Dhemaji,193,109,327.74,105,1583.05,684,1497.8,374,641.72
Dhubri,167,133,338.76,138,314.09,1450,1750.15,847,925.09
Dibrugarh,233,117,360.03,149,472.6,942,1753.84,554,916.34
Dima Hasao,137,20,44.52,20,37.43,193,254.23,52,47.8
Goalpara,167,20,31.72,41,53.58,891,1106.91,576,766.23
Golaghat,176,341,515.44,359,778.71,488,856.14,356,572.1
Hailakandi,137,31,101.23,38,76.04,458,701.38,286,405.11
Hojai,167,32,74.57,27,30.86,178,350.37,56,93.84
Jorhat,233,43,137.36,62,160.39,434,704.52,262,359.77
KARIMGANJ,147,59,150.35,60,183.98,484,756.04,222,324.2
Kamrup,233,111,182.68,64,122.79,1158,1617.91,769,1009.87
Kamrup Metro,130,94,367.47,94,342.78,775,1451.02,332,472.32
Karbi Anglong,137,10,29.64,20,28.45,263,255.72,165,113.92
Kokrajhar,176,90,211.75,184,210.03,1801,2204.11,1353,1562.64
Lakhimpur,176,64,186.27,40,305.34,539,1075.8,380,737.65
Majuli,167,2,2.44,2,1.95,62,82.07,48,62.2
Morigaon,233,47,110.33,51,77.25,541,858.01,368,551.44
Nagaon,233,80,280.6,106,254.23,1015,1981.62,614,935.02
Nalbari,233,67,158.62,63,129.57,978,1655.16,668,1152.31
Sivasagar,176,74,219.38,88,199.71,486,1118.29,204,426.87
Sonitpur,176,180,562.38,256,542.71,1055,1997.53,522,859.16
South Salmara,137,4,9.96,29,6.9,380,424.09,316,360.89
Tinsukia,176,54,159.14,67,159.25,764,1241.57,486,768.79
Udalguri,167,13,21.22,215,108.68,1639,2609.19,1366,2250.44
West Karbi Anglong,127,0,0,0,0,20,20.72,11,10.09
