district,Agri (PS) Total O/S No.,Agri (PS) Total O/S Amount,MSME (PS) Total O/S No.,MSME (PS) Total O/S Amount,Other PS Total O/S No.,Other PS Total O/S Amount,Total PS O/S No.,Total PS O/S Amount
Baksa,51337,28500.32,29550,20711.96,3164,12441.11,84051,61653.39
Barpeta,123372,56888.9,92813,71291.6,8065,34824.55,224250,163005.05
Biswanath,60343,32317.24,40014,26274.02,3192,16548.23,103549,75139.49
Bongaigaon,40715,20361.75,66280,54257.55,14303,22819.82,121298,97439.12
Cachar,113768,68540.01,206711,150151.02,9361,35653.48,329840,254344.51
Charaideo,23572,12196.1,12771,11666.06,2974,6630.53,39317,30492.69
Chirang,27306,14605.25,25442,16688.16,1779,7846.35,54527,39139.76
Darrang,81479,41142.48,70470,42304.15,5480,16958.36,157429,100404.99
Dhemaji,44581,23908.22,35513,22339.08,4162,17436.27,84256,63683.57
Dhubri,88183,45266.43,94649,50260.51,4446,19787.57,187278,115314.51
Dibrugarh,146948,90010.72,95495,160059.38,18540,61998.61,260983,312068.71
Dima Hasao,3140,1499.47,1744,3239.48,1373,5252.45,6257,9991.4
Goalpara,54983,27173.82,55513,30306.83,2475,4229.84,112971,61710.49
Golaghat,165181,80035.14,69593,58136.94,14128,27478.5,248902,165650.58
Hailakandi,31224,15914.03,34590,22318.52,2897,9121.35,68711,47353.9
Hojai,57873,29998.47,47616,28645.66,2790,21171.15,108279,79815.28
Jorhat,137637,82370.62,63973,118909.95,28673,63355.69,230283,264636.26
Kamrup Metro,143709,71844.2,179526,119900.14,34841,44376.99,358076,236121.33
Karbi Anglong,41885,17664.22,17896,10490.79,3750,22730.41,63531,50885.42
Karimganj,67562,38588.45,92042,54775.55,2288,13207.87,161892,106571.87
Kokrajhar,37080,19702.82,37249,22862.94,1799,11652.13,76128,54217.89
Lakhimpur,114994,60673.92,76031,56809.01,7122,34215.25,198147,151698.18
Majuli,7556,3748.73,5191,5464.06,1892,7892.36,14639,17105.15
Morigaon,100942,55619.39,36184,29033.29,3065,25545.97,140191,110198.65
Nagaon,236481,111639.4,116107,100328.79,23306,47492.45,375894,259460.64
Nalbari,85451,36799.12,74186,40867.79,8322,27224.12,167959,104891.03
Sivasagar,100242,44861.46,51196,65116.96,12655,29148.52,164093,139126.94
Sonitpur,104871,55461.73,98188,103472.71,14917,42762.43,217976,201696.87
South Salmara,2833,1382.42,1802,2957.16,226,1465.68,4861,5805.26
Tinsukia,98774,85167.24,68283,139565.09,13553,36551.04,180610,261283.37
Udalguri,51755,28970.45,29506,18157.37,3705,16162.46,84966,63290.28
West Karbi Anglong,13602,5082.57,1283,649.22,739,6382.07,15624,12113.86
