district,Sanctioned No,of which girl student Sanctioned No,Sanctioned Amt,of which girl student Sanctioned Amt,Disb. Number,of which girl student Disb No,Disb. Amt,of which girl student Disb Amt,OS No,of which girl student OS No,OS amt,of which girl student OS Amt
Baksa,5,2,25.65,5.21,19,5,110.94,45.27,118,27,421.92,141.96
Barpeta,25,12,63.78,14.79,82,32,174.66,56.35,359,113,1059.17,284.43
Biswanath,8,5,8.31,5.65,32,16,82.38,32.75,136,58,378.56,169.07
Bongaigaon,10,6,20.35,13.62,33,9,141.41,32.2,136,43,535.78,188.76
Cachar,42,11,89.5,19.42,363,56,1098.12,149.54,1059,221,2963.57,619.16
Charaideo,4,2,2.61,2.02,14,6,24.91,9.54,70,23,215.65,76.94
Chirang,0,0,0,0,9,1,45.33,3.6,66,13,240.4,35.79
Darrang,21,12,49.34,37.65,73,24,193.46,58.36,313,108,839.76,303.01
Dhemaji,8,5,9.84,7.24,30,14,80.28,30.62,160,54,392.85,147.06
Dhubri,7,0,11.93,0,42,3,135.05,11.8,194,32,597.79,136.15
Dibrugarh,42,23,149.98,86.78,220,88,745.95,320.33,914,335,3074.61,1108.95
Dima Hasao,0,0,0,0,4,0,8.89,0,22,8,58.78,26.34
Goalpara,4,1,8.59,1.62,18,4,65.08,18.45,130,33,451.75,102.04
Golaghat,28,10,81.46,36.68,99,33,337.41,166.77,311,105,996.17,380.96
Hailakandi,2,2,3.97,1.51,10,3,19.32,7.45,90,22,191.67,57.54
Hojai,4,3,5.67,2.14,30,9,77.96,16.42,130,32,365.05,86.96
Jorhat,37,18,197.27,104.82,195,93,1090.57,531.95,704,294,2745.76,1165.36
KARIMGANJ,11,5,37.23,11,22,7,64.09,12.99,109,30,307.4,75.56
Kamrup,35,12,70.37,27.89,507,109,1717.83,375,1177,242,3494.5,742.23
Kamrup Metro,166,81,875.34,418.97,760,306,4206.74,1595.7,4031,1416,18958.83,6207.48
Karbi Anglong,5,3,4.22,1.82,21,8,55.77,14.03,114,39,312.85,109.33
Kokrajhar,5,0,22.28,0,18,2,68.18,9.26,95,18,284.23,59.1
Lakhimpur,25,10,40.63,25.94,76,26,192.15,56.7,287,95,760.21,253.33
Majuli,2,1,0.98,0.41,8,1,12.5,0.41,45,7,89.86,14.36
Morigaon,9,2,35.45,5.17,22,8,70.99,27.6,127,39,365.28,116.96
Nagaon,16,4,74.18,37.65,67,16,188.45,45.82,329,93,1113.37,275.15
Nalbari,17,11,27.6,14.13,83,33,330.01,165.06,314,86,1017.23,344.1
Sivasagar,21,11,99.28,62.18,79,34,272.56,96.61,296,116,836.69,278.62
Sonitpur,35,13,153.97,82.08,109,43,423.78,240.55,426,142,1249.02,524.49
South Salmara,0,0,0,0,2,0,3.2,0,13,2,55.75,9.25
Tinsukia,37,17,114.17,40.8,140,46,521.15,137.75,549,169,1903.3,541.76
Udalguri,17,13,17.35,15.12,63,36,104.21,42.95,205,105,509.19,246.58
West Karbi Anglong,3,1,4.72,1.35,4,1,6.82,1.35,16,5,35.63,12.35
