District,Current Year Disbursed KCC No.,Current Year Disbursed KCC Amt,Total O/S KCC No.,Total O/S KCC Amt,Number of Rupay Card,Card Activated,AH No. of KCC,AH Amount disbursed,AH Total no. of KCC,AH Outstanding Amt,AH Number of Rupay Card,AH Card activated,Fishery No. of KCC,Fishery Amount disbursed,Fishery Total no. of KCC,Fishery Outstanding Amt,Fishery Number of Rupay Card,Fishery Card activated
Baksa,3003,2396.37,25259,14711.02,14687,9670,15,13.37,95,198.37,1,4,7,3.84,16,16.45,0,3
Barpeta,4950,2771.05,54040,25116.61,21851,13891,50,46.24,313,478.66,2,5,31,32.96,46,153.62,8,12
Biswanath,2719,1787.69,24739,13395.77,11753,7657,41,36.81,141,195.92,5,7,2,2,5,13.21,2,2
Bongaigaon,1500,806.84,13675,5631.97,8413,5666,10,9.06,154,198.89,0,0,11,12.02,13,10.9,0,0
Cachar,3475,2383.44,47627,27840.13,30473,25693,62,55.2,1496,1976.43,58,57,122,117.87,181,169.67,8,7
Charaideo,371,219.82,9843,5451.8,8625,5124,7,6.16,192,280.32,0,0,13,12.03,13,10.78,0,0
Chirang,1609,1086.96,18098,9740.14,9588,5630,6,4,113,158.69,0,0,3,2.08,3,2.08,0,0
Darrang,3090,2243.01,37027,17389.02,18389,10046,18,17.66,234,307.49,2,2,62,36.17,73,59.32,4,4
Dhemaji,2655,2043.06,23875,13729.25,15664,10585,31,28.84,374,443.05,0,0,43,32.81,48,59.39,0,0
Dhubri,2518,1451.58,28150,14787.5,17924,13386,31,21.64,566,754.27,10,6,6,9.55,12,17.28,0,0
Dibrugarh,8111,5672.77,73204,39913.07,33413,24078,41,50.43,841,1102.95,121,121,34,22.52,42,60.77,5,5
Dima Hasao,200,126.76,2050,701.78,804,796,29,16.93,75,53.29,54,54,2,0.62,3,0.62,0,0
Goalpara,1988,1109.22,24352,11235.99,16743,9664,9,13.18,383,451.79,0,0,7,8.9,13,15.97,0,0
Golaghat,4238,2901.95,63227,30849.55,34369,25378,30,25.39,625,758.46,147,147,5,1.62,7,3.31,0,0
Hailakandi,1916,1045.75,17844,8917.42,11013,6755,31,26.15,352,431.09,13,13,10,19.25,16,26.27,0,0
Hojai,1746,1090.6,19714,10385.33,13734,10959,19,16.73,399,726.94,0,0,8,20.3,9,20.87,0,0
Jorhat,3609,2060.08,45656,21880.16,25827,21132,88,88.06,709,836.3,69,67,22,37.31,109,50.89,4,2
Kamrup Metro,5542,3219.23,74802,36807.78,37638,25076,39,40.02,560,874.32,30,30,19,13.57,34,46.29,1,1
Karbi Anglong,2786,2316.99,26307,12190.54,3755,2591,3,4.27,78,123.66,2,1,1,1.32,9,7.5,3,2
Karimganj,968,563.87,27833,15320.73,18594,16794,36,35.39,1111,1455.06,0,0,15,23.91,78,103.14,0,0
Kokrajhar,1892,1234.47,22242,11338.06,13058,6811,2,2.18,149,172.96,0,0,4,3.54,5,3.94,0,0
Lakhimpur,5261,3699.58,58762,32131.63,27927,20546,103,231.87,836,1306.22,2,0,46,27.64,67,148.03,0,0
Majuli,220,136.9,4623,2165.66,3786,2543,2,2.21,41,83.41,0,0,12,11.07,16,10.64,0,0
Morigaon,2619,1521.88,38320,22403.08,25188,17508,145,82.28,1117,1314.18,15,10,118,43.08,126,77.03,15,10
Nagaon,6154,4488.45,96227,46206.12,45972,34021,102,85.84,1336,1952.96,9,8,322,192.79,334,236.18,2,1
Nalbari,3184,1616.89,42627,15583.51,16526,11348,112,91.67,469,512.73,39,39,12,11.39,31,54.95,3,3
Sivasagar,2405,1700.47,32511,14429.5,17525,12473,33,22.74,462,507.55,29,29,11,13.18,12,12.69,0,0
Sonitpur,3424,2957.63,33463,19209.93,17132,11676,26,30.79,417,625.09,17,17,26,33.13,42,97.5,8,8
South Salmara,127,47.35,2172,724.84,1573,1331,0,0,0,0,0,0,2,5.59,2,1.91,1,1
Tinsukia,6212,6407.79,56474,34514.9,26581,20780,80,81.85,913,1317.2,40,40,14,23.03,19,34.04,0,0
Udalguri,2753,2588.72,32073,19560.44,12290,6528,4,3.58,106,132.56,0,0,4,8.75,20,19.55,0,0
West Karbi Anglong,882,613.32,10518,3765.27,559,347,3,1.48,3,1.43,0,0,0,0,0,0,0,0
