District,Micro No.,Micro Amt,Small No.,Small Amt,Medium No.,Medium Amt,Other MSME No.,Other MSME Amt,MSME Total O/S No.,MSME Total O/S Amt
Baksa,28349,16291.2,185,3105.55,45,198.66,971,1116.55,29550,20711.96
Barpeta,90189,57557.22,1215,11517.2,78,1466.73,1331,750.45,92813,71291.6
Biswanath,38602,19287.7,320,4910.57,22,1244.33,1070,831.42,40014,26274.02
Bongaigaon,63768,33917.71,1249,15827.03,115,3068.47,1148,1444.34,66280,54257.55
Cachar,203799,116079,1993,25492.99,223,8034.28,696,544.75,206711,150151.02
Charaideo,12518,10242.13,92,1264.44,2,43.72,159,115.77,12771,11666.06
Chirang,25012,13752.85,113,2368.59,1,57.5,316,509.22,25442,16688.16
Darrang,69115,36235.54,464,5030.51,22,330.36,869,707.74,70470,42304.15
Dhemaji,34341,17070.18,350,4182.74,11,796.16,811,290,35513,22339.08
Dhubri,93355,45512.31,430,3798.92,9,390.13,855,559.15,94649,50260.51
Dibrugarh,89338,88827.31,2387,40958.81,183,6289.9,3587,23983.36,95495,160059.38
Dima Hasao,1423,2592.4,168,602.35,3,0.3,150,44.43,1744,3239.48
Goalpara,54403,25261.81,343,3655.85,11,319.3,756,1069.87,55513,30306.83
Golaghat,66970,37647,1160,17863.05,100,1724.06,1363,902.83,69593,58136.94
Hailakandi,33676,17106.44,441,4367.75,37,127.51,436,716.82,34590,22318.52
Hojai,46609,24888.31,410,3121.66,7,96.79,590,538.9,47616,28645.66
Jorhat,61141,58608.26,1462,43555.99,155,11160.52,1215,5585.18,63973,118909.95
Kamrup Metro,175672,84525.64,1755,19238.61,401,12257.57,1698,3878.32,179526,119900.14
Karbi Anglong,17148,8128.62,213,1599.85,33,371.78,502,390.54,17896,10490.79
Karimganj,90682,47789.84,580,5629.4,21,898.6,759,457.71,92042,54775.55
Kokrajhar,36636,20735.42,113,1213.06,23,583.63,477,330.83,37249,22862.94
Lakhimpur,72181,42559.43,984,12077.37,21,540.43,2845,1631.78,76031,56809.01
Majuli,4356,4076.1,53,680.6,0,0,782,707.36,5191,5464.06
Morigaon,35233,24296.57,494,3371.06,8,277.28,449,1088.38,36184,29033.29
Nagaon,112596,75158.93,1792,21405.97,52,2385.76,1667,1378.13,116107,100328.79
Nalbari,72618,33881.93,721,5898.99,24,484.54,823,602.33,74186,40867.79
Sivasagar,48401,40092.14,1448,19973.01,37,3875.26,1310,1176.55,51196,65116.96
Sonitpur,93849,65720.34,1973,23947.26,149,5103.64,2217,8701.47,98188,103472.71
South Salmara,1755,2836.21,1,0.11,0,0,46,120.84,1802,2957.16
Tinsukia,64998,65522.14,2123,32593.12,112,38411.86,1050,3037.97,68283,139565.09
Udalguri,26093,15887.54,165,869.39,1,2.03,3247,1398.41,29506,18157.37
West Karbi Anglong,1251,564.17,8,56.26,0,0,24,28.79,1283,649.22
