district,CHRISTIANS No.,CHRISTIANS Amt,MUSLIMS Amt.,BUDDHISTS No,BUDDHISTS Amt.,SIKHS No.,SIKHS Amt.,ZORASTRIANS No.,ZORASTRIANS Amt.,JAINS No.,JAINS Amt.,Tot Minority Disb No.,Tot Minority Disb Amt.
Baksa,68,95.12,5660.15,9,18.91,3,10.95,0,0,7,6.04,10250,5791.17
Barpeta,54,85.23,29033.96,31,12.59,5,37.23,1,0.9,0,0,36188,29169.91
Biswanath,211,172.47,2993.81,10,24.2,12,19.23,0,0,11,33.28,4671,3242.99
Bongaigaon,554,438.52,10775.3,7,19.25,11,16.22,1,0.02,9,51.82,21563,11301.13
Cachar,1147,1551.12,26571.45,24,46.16,22,56,0,0,14,68.38,49678,28293.11
Charaideo,58,40.09,471.22,25,15.94,5,1.68,2,0.18,5,1.42,733,530.53
Chirang,585,242.28,2876.31,33,24.22,3,3.16,0,0,0,0,4581,3145.97
Darrang,49,61.48,13670.5,40,60.41,2,15.5,0,0,7,20.66,27903,13828.55
Dhemaji,48,236.85,204.09,5,6.23,3,6.73,0,0,0,0,355,453.9
Dhubri,111,126.47,28261.73,8,2.53,4,0.59,1,0.4,11,8.86,50501,28400.58
Dibrugarh,412,868.06,5453.62,136,553.63,127,8826.41,3,0.06,25,293.64,6000,15995.42
Dima Hasao,1679,1834.28,365.41,2,0.04,2,11.77,0,0,0,0,1889,2211.5
Goalpara,1943,765.61,10145.57,9,4.48,0,0,0,0,7,46.49,17391,10962.15
Golaghat,547,288.24,4411.84,77,81.13,24,48.6,1,0.14,5,39.07,10630,4869.02
Hailakandi,64,113.78,12095.61,2,0.23,1,1.5,0,0,0,0,14048,12211.12
Hojai,141,166.51,6520.69,9,14.9,15,7.94,0,0,0,0,13860,6710.04
Jorhat,378,303.58,14398.51,130,235.37,47,107.25,1,0,16,287.28,4348,15331.99
Kamrup Metro,447,469.62,19163.61,78,98.69,22,68.55,0,0.04,10,68.75,31594,19869.26
Karbi Anglong,1269,1188,387.6,35,62.31,5,1.45,1,0.3,5,2.85,1687,1642.51
Karimganj,527,195.71,18187.94,14,22.06,8,14.2,0,0,2,1.07,21718,18420.98
Kokrajhar,1188,925.88,5884.03,3,1.28,5,4.05,1,10,1,0,11390,6825.24
Lakhimpur,464,317.73,12028.25,17,39.14,14,12.08,5,3.92,1,2,10718,12403.12
Majuli,4,0.24,24.64,1,0.18,0,0,0,0,0,0,22,25.06
Morigaon,39,60.27,7438.07,11,45.15,1,1.56,0,0,3,4.77,12349,7549.82
Nagaon,230,180.36,27647.85,18,11.23,64,64.99,14,3.25,13,46.83,70389,27954.51
Nalbari,20,13.22,9799.77,8,8.02,16,9.65,1,0.02,3,7.15,14803,9837.83
Sivasagar,129,91.98,7864.22,56,79.46,25,33.82,2,0,6,32.85,8450,8102.33
Sonitpur,542,1246.79,7862.47,88,226.6,25,48.45,1,0.09,4,28.67,17093,9413.07
South Salmara,2,1.24,776.44,0,0,0,0,0,0,0,0,1128,777.68
Tinsukia,566,1366.87,2155.09,208,335.65,74,337.24,1,0.12,10,77.76,3801,4272.73
Udalguri,3253,1391.75,2086.22,5,1.42,1,0,0,0,1,0.5,6259,3479.89
West Karbi Anglong,133,251.5,42.45,0,0,0,0,1,0.42,0,0,170,294.37
