district,Agri (PS) Target,MSME (PS) Target,Other PS Target,Total PS Target
Baksa,31236,2750,2856,36842
Barpeta,82530,7893,3946,94369
Biswanath,12057,3279,555,15891
Bongaigaon,30955,3294,2360,36609
Cachar,70737,31875,2393,105005
Charaideo,20371,2934,1486,24791
Chirang,33244,4201,1506,38951
Darrang,48300,6000,938,55238
Dhemaji,38893,4093,2056,45042
Dhubri,72716,18745,6536,97997
Dibrugarh,39263,9601,3051,51915
Dima Hasao,20785,90,223,21098
Goalpara,48983,1609,1560,52152
Golaghat,32339,16491,3894,52724
Hailakandi,34523,3481,1541,39545
Hojai,19245,2717,1084,23046
Jorhat,39601,3991,2332,45924
Kamrup Metro,54001,20125,2359,76485
Karbi Anglong,59192,301,6695,66188
Karimganj,25313,7842,665,33820
Kokrajhar,42077,2776,1333,46186
Lakhimpur,59229,2458,1917,63604
Majuli,23322,2075,1670,27067
Morigaon,68193,1157,3377,72727
Nagaon,86822,21088,4204,112114
Nalbari,17709,11118,4484,33311
Sivasagar,35952,7100,2283,45335
Sonitpur,27383,3847,3112,34342
South Salmara,21525,1024,2508,25057
Tinsukia,31815,11411,9401,52627
Udalguri,64400,4429,3643,72472
West Karbi Anglong,34026,138,3128,37292
