district,Housing Loan (PS) O/S No,Housing Loan (PS) O/S Amount,Housing Loan (NPS) O/S No,Housing Loan (NPS) O/S Amount,Rural Housing Loan O/S No,Rural Housing Loan O/S Amount,Housing Loan Eligible under PMAY O/S No,Housing Loan Eligible under PMAY O/S Amount,Current Year Disbursed under PMAY No,Current Year Disbursed under PMAY Amount,PMAY O/S No,PMAY O/S Amount
Baksa,11248,104647.09,2037,44187.51,5094,41807.66,534,5301.75,91,1825.25,534,5301.75
Barpeta,4894,34045.95,137,3643.22,2394,15286.25,33,367.53,2,11.27,33,371.81
Biswanath,2186,14800.67,45,1517.22,915,5197.98,11,185.9,0,0,11,185.9
Bongaigaon,5258,18513.08,109,2933.39,331,2093.04,51,637.62,1,17.19,51,637.62
Cachar,4542,23093.11,243,5548.19,556,3518.14,95,1108.52,16,223.77,96,1121.42
Charaideo,515,3278.1,8,263.56,119,868.01,1,33.44,1,33.44,1,33.44
Chirang,916,6418.77,15,384.11,793,5429.8,0,0,0,0,0,0
Darrang,2338,14494.74,68,1573.51,353,2558.62,10,92.93,1,10.07,11,92.93
Dhemaji,2598,15418.95,22,561.01,775,4973.71,15,171.54,0,0,15,171.54
Dhubri,2902,16920.32,48,1149.75,585,3573.88,20,165.02,0,0,20,170.92
Dibrugarh,6926,42352,511,12819.63,2174,14427.86,70,1121.34,15,253.4,74,1136.99
Dima Hasao,968,4819.14,10,274.85,334,1147.89,2,27.65,2,27.68,2,27.65
Goalpara,1525,9689.43,12,191.54,387,2635.47,4,20.38,1,4.26,4,20.38
Golaghat,6466,22056.57,105,2774.77,873,6516.19,15,151.94,2,11.94,15,151.94
Hailakandi,1498,7750.25,10,305.63,114,576.09,10,83.94,3,22.97,10,83.94
Hojai,1314,7372.01,49,1209.91,68,493.34,2,27.58,1,15.06,2,27.58
Jorhat,10279,42554.19,511,12307.67,1501,9359.63,58,669.28,9,96.2,65,714.8
KARIMGANJ,1049,5533.14,35,859.31,231,1280.03,4,48.08,0,0,4,48.08
Kamrup,7359,28834.98,231,4852.14,2875,19870.57,48,872.97,1,14.85,54,872.97
Kamrup Metro,30992,198627.41,4757,134168.03,861,6712.88,1135,21174.07,269,3634.46,1150,20820.21
Karbi Anglong,2883,21411.52,25,759.38,1431,11876.79,1,0.6,0,0,1,0.6
Kokrajhar,1560,11650.11,65,1939.75,380,3774.07,2,14.45,0,0,3,27.33
Lakhimpur,3149,24948.38,90,2345.75,687,5467.42,13,179.13,0,0,13,179.13
Majuli,107,680.84,0,0,106,677.62,0,0,0,0,0,0
Morigaon,1049,6326.99,25,392.91,214,1130.9,2,23.76,1,14.06,3,36.12
Nagaon,7886,30811.56,155,3351.22,1667,10261.27,26,308.35,1,12.39,26,307.89
Nalbari,4210,22312.03,81,1658.07,981,5219.21,6,65.58,0,0,6,65.58
Sivasagar,7064,25249.09,146,3307.12,848,5505.86,44,672.5,24,233.11,44,485.66
Sonitpur,5104,31308.49,293,7551.15,1063,6399.06,53,570.43,10,106.32,56,610.89
South Salmara,394,2439.11,0,0,200,1052.36,0,0,0,0,0,0
Tinsukia,4037,27474.03,275,6566.17,971,5911.54,39,517.82,11,134.59,39,517.82
Udalguri,2547,15246.03,2,64.5,570,3891.12,4,52.39,0,0,4,47.29
West Karbi Anglong,809,6995.92,0,0,809,6995.9,0,0,0,0,0,0
