District,Number of operative CASA,Number of Aadhaar seeded CASA,Number of Authenticated CASA
Baksa,920048,16338,32660
Barpeta,1893569,51753,87495
Biswanath,632887,15652,54677
Bongaigaon,682205,24191,85570
Cachar,1748058,55667,499943
Charaideo,343180,1982,30800
Chirang,587236,9381,32407
Darrang,1181531,28119,106880
Dhemaji,977296,23030,122805
Dhubri,1943901,54442,275339
Dibrugarh,1525151,61512,264057
Dima Hasao,186371,23906,52578
Goalpara,1016416,19474,72671
Golaghat,1301366,62956,317026
Hailakandi,715104,25254,190326
Hojai,795986,64461,185862
Jorhat,1207285,44566,356482
Kamrup Metro,1900159,72421,118767
Karbi Anglong,550750,49441,55037
Karimganj,1161874,43370,359812
Kokrajhar,852061,30197,40448
Lakhimpur,1209017,44751,232962
Majuli,162496,3515,21140
Morigaon,1198263,43050,445533
Nagaon,2587582,294349,672509
Nalbari,905304,39875,67915
Sivasagar,985446,32336,286086
Sonitpur,1397000,121619,182613
South Salmara,168101,11438,12619
Tinsukia,1292376,42785,304997
Udalguri,871116,14949,26791
West Karbi Anglong,194740,10498,9413
