District,Micro TL A/C,Micro TL Amt,Micro WC A/C,Micro WC Amt,Small TL A/C,Small TL Amt,Small WC A/C,Small WC Amt,Medium TL A/C,Medium TL Amt,Medium WC A/C,Medium WC Amt,KVIC TL A/C,KVIC TL Amt,KVIC WC A/C,KVIC WC Amt,Others under MSMEs A/C,Others under MSMEs Amt,Tot MSME (PS) Disb No.,Tot MSME (PS) Disb Amt
Baksa,6662,4287.79,492,995.58,66,1814.8,33,580.08,2,129,4,52,12,29.24,4,8.48,414,292.92,7689,8189.89
Barpeta,33404,16307.72,1253,4688.48,204,1164.07,180,2782.21,62,252.25,13,61.34,5,10.18,20,65.72,705,469.04,35846,25801.01
Biswanath,13210,5506.32,314,526.61,145,1931.08,37,737.29,35,221.27,13,113.39,10,17.12,0,0,418,300.13,14182,9353.21
Bongaigaon,22480,12682.9,440,1846.31,175,3591.57,80,1701.76,51,582.41,8,447.19,5,16.95,5,20.46,768,1244.5,24012,22134.05
Cachar,73600,38756.56,1528,4620.42,438,4634.37,246,3184.64,82,1436.02,38,473.14,17,41.43,22,66.36,342,8213.01,76313,61425.95
Charaideo,3368,2076.77,146,413.16,32,161.31,9,55.29,11,9.99,6,18,5,20.84,0,0,2,1.45,3579,2756.81
Chirang,8126,4449.62,561,810.43,58,1873.31,19,618.07,10,30.36,0,0,15,24.92,28,20.38,184,156.99,9001,7984.08
Darrang,23387,10663.96,940,2989.25,107,927.7,115,1641.1,19,30.06,13,39.65,7,12.96,10,9.16,358,702.93,24956,17016.77
Dhemaji,8750,4612.37,462,643.5,83,630.71,35,171.84,9,162.18,6,23.55,25,66.44,0,0,66,234.19,9436,6544.78
Dhubri,38885,18476.61,576,1544.42,142,1459.47,68,666.83,36,59.06,0,0,4,7.07,4,3.54,113,103.5,39828,22320.5
Dibrugarh,28422,20793.35,2106,6325.14,429,10861.45,256,5095.8,35,1150.58,11,189.09,26,75.23,30,87.9,627,5338.75,31942,49917.29
Dima Hasao,422,355.16,296,299.1,21,143,8,60,0,0,9,12.21,2,11.22,10,27.96,38,22.99,806,931.64
Goalpara,16284,7742.33,890,1268.64,80,278.98,40,353.8,25,55.78,14,34.83,4,9.57,46,38.9,259,270.49,17642,10053.32
Golaghat,23102,12637.66,703,2301.24,258,2965.33,137,1829.06,23,165.33,10,23.92,5,9.03,0,0,704,2185.27,24942,22116.84
Hailakandi,13652,7218.01,443,734.39,68,387.04,31,162.55,34,123.5,4,15.07,16,30.99,32,47.46,130,328.8,14410,9047.81
Hojai,15440,8802.89,382,1372.38,132,1174.13,38,317.08,18,31.23,9,36,1,4.13,12,52.36,188,484.59,16220,12274.79
Jorhat,16634,13795.5,1071,3969.44,315,7071.34,206,5729.43,94,2010.52,25,393.17,2,5.1,6,6.42,333,3553.01,18686,36533.93
Kamrup Metro,48477,25722.41,2614,3753.24,357,5042.07,163,2175.33,57,2128.24,23,553.51,12,45.04,76,113.08,730,1157.29,52509,40690.21
Karbi Anglong,6160,2900.91,744,654.21,89,753.89,27,239.53,2,54.14,1,18.05,5,14.96,6,18.88,50,29.27,7084,4683.84
Karimganj,35490,18027.14,617,1722,199,1182.33,59,367.29,89,254.96,13,52.64,30,74.32,48,105.48,420,513.48,36965,22299.64
Kokrajhar,15646,6335.36,360,1102.85,27,635.07,4,132.94,2,170.91,0,0,39,101.13,8,13.92,31,38.71,16117,8530.89
Lakhimpur,21146,10341.14,825,2486.72,254,2703.59,93,1123.21,35,59.67,19,59.86,10,28.39,4,0.02,1721,2143.41,24107,18946.01
Majuli,1190,360.84,45,50.76,22,139.77,11,62.59,0,0,0,0,0,0,0,0,212,117.59,1480,731.55
Morigaon,11039,5901.13,658,1262.87,129,415.11,51,326.13,48,98.19,7,29.46,7,24.28,28,93.38,83,417.81,12050,8568.36
Nagaon,42523,21864.23,1382,4644.03,408,7092.73,237,4689.68,85,1068.02,31,291.55,14,35.63,40,324.8,276,2678.49,44996,42689.16
Nalbari,20252,8638.28,791,1640.16,138,1450.14,97,1986.77,33,116.76,11,92.29,24,52.33,24,46.66,289,706.5,21659,14729.89
Sivasagar,14769,11402.38,790,2637.03,298,3402.6,120,2337.67,25,206.44,6,759.09,18,64.45,2,2.4,330,858.68,16358,21670.74
Sonitpur,28329,19750.51,1510,4138.32,311,5947.75,121,2421.21,57,2850.8,21,880.97,24,92.42,176,490.8,242,3116.71,30791,39689.49
South Salmara,332,214.83,12,22.5,1,2.7,1,0.9,0,0,0,0,4,4.26,0,0,0,0,350,245.19
Tinsukia,21847,17843.08,2078,6538.75,354,6358.56,289,4314.01,48,12346.73,13,1016.66,6,4.82,30,32.58,276,8104.7,24941,56559.89
Udalguri,6524,2911.9,680,1124.58,30,140.92,37,437.47,4,20.03,6,22.5,4,7.28,22,27.04,67,77.5,7374,4769.22
West Karbi Anglong,349,210.7,211,117.67,5,30.44,1,7.72,0,0,0,0,0,0,0,0,2,0.7,568,367.23
