district,BHIM/UPI A/c,BHIM/UPI Amt.,BHIM Aadhaar A/C,BHIM Aadhaar Amt.,Bharat QR Code A/C,Bharat QR Code Amt.,IMPS A/C,IMPS Amt.,Cards (Debit & Credit) A/C,Cards (Debit & Credit) Amt.,USSD A/C,USSD Amt.
Baksa,21755180,695383.27,2023136,45289.47,1060,112.16,2064165,351274.15,234991,17270.57,770810,7552.94
Barpeta,209309604,7790656.21,2984327,72270.36,365,85.46,17846743,3701613.25,403959,19573462.77,3218421,12770.89
Biswanath,106660777,2486542.06,1150627,23643.82,38,28.92,4955235,1090886.01,402664,36812.62,339072,4518.04
Bongaigaon,75446316,3871273.72,1355815,30016.36,938,72.47,8895845,1630382.21,213807,44293.79,661526,7788.55
Cachar,147418630,4668716.4,3074013,65928.38,1669,734.54,27982203,5366300.49,654328,241049.13,1169532,16091.84
Charaideo,150575,3339.2,640375,13376.26,490,232.67,16714,9142.04,97476,16064.29,261535,3357.09
Chirang,100382,4595.18,953924,19982.1,15,7.41,15629,11457.72,149161,11218.06,473383,6046.31
Darrang,75950372,2724503.16,1328189,30873.85,553,104.37,7924199,1686695.7,238740,25462.34,434127,5057.96
Dhemaji,13767651,441033.47,1740815,34420.52,426,114.29,1679067,312526.61,350790,35298.14,454026,5374.8
Dhubri,61608995,2355150.81,2380656,57551.73,541,392.95,5265386,880665.63,429551,48481.12,957863,8606.24
Dibrugarh,286880789,8169316.72,3626442,75225.92,4696,706.79,54260930,11994287.91,1563667,153825.39,1733722,24585.12
Dima Hasao,8893,1387.83,657942,16405.52,15,7.2,1822,456.18,68264,7758.99,240312,3017.84
Goalpara,69921195,2386315.83,1288933,32413.34,652,296.43,6619332,1273168.26,237844,47051.59,465915,5040.17
Golaghat,115917798,5621642.5,2286346,43312.55,202,1973.88,25239620,5749358.91,563684,11749644.39,823017,11370.83
Hailakandi,3465751,142769.01,1071991,19341.15,41,18563.71,916172,251624.44,128263,31499.65,204905,2534.73
Hojai,77722094,2891898.25,1595395,38173.59,1796,373.02,13261777,2799165.62,277102,80732.31,410189,5147.73
Jorhat,231736004,11417180.6,2634442,52125.17,2925,435.28,45404553,8633392.99,651986,29147089.89,1387118,19788.98
KARIMGANJ,57929820,2377495.05,1794398,40484.37,642,167.12,12652741,3389208.91,279480,31687.27,436829,5679.44
Kamrup,233146598,6959084.81,3615625,77314.48,164,78.41,24587453,5104985.64,832440,88151696.39,1382705,19747.36
Kamrup Metro,2297747995,77761502.5,8327160,202408.87,12813,1574.9,487609455,90044469.25,3900220,46415209.76,5312822,87943.16
Karbi Anglong,45253225,1424490.18,1501350,31975.28,34,7.63,7628772,1177028.5,291154,18439.41,489420,6664.24
Kokrajhar,39384955,1295465.14,1152670,24595.89,52,7.42,4970087,854272.46,158239,8205.12,1258067,7540.55
Lakhimpur,86365561,2430693.64,2350657,46767.7,117,103.43,11315056,3283591.07,452860,53995.98,622069,8120.56
Majuli,55222,812.95,307328,5326.49,475,228.32,6592,720.23,24516,9449.68,78322,937.95
Morigaon,81778113,2866634.85,907078,21776.92,926,75,4915523,1687797.23,258284,26074.97,319123,3617.16
Nagaon,139329945,4832079.92,3360033,80668.4,3182,1268.2,13884887,2612854.02,516798,18294477.07,1164519,15854.2
Nalbari,57026875,1609128.27,1532836,31067.96,527,243.77,6662854,1365554.78,300775,20193887.07,657665,7099.75
Sivasagar,124576261,5494249.08,2355311,50023.07,1006,260.52,19767258,3809409.26,428205,36108.13,1172167,17395.61
Sonitpur,145849425,4560796.78,3355204,69746.34,1256,293.44,23764740,4214746.67,566226,14023862.23,1382439,17820.25
South Salmara,52736,999.96,107553,3186.45,0,0,9906,1038.12,9089,422.83,19248,295.31
Tinsukia,221208511,7205560.93,2489334,51250.37,3590,766.87,55031507,14518310.92,664076,171230.4,921896,12566.76
Udalguri,278489,10863.85,1541323,28153.06,8,8.13,71723,10854.15,91205,16130.3,360218,4332.72
West Karbi Anglong,22423,1220.35,559772,10522.35,0,0,2638,456.81,66028,2851.71,135309,1445.5
