District,Agriculture (NPS) No.,Agriculture (NPS) Amt,Msme (NPS) No.,Msme (NPS) Amt,Exp Credit (NPS) A/C,Exp Credit (NPS) Amt,Education (NPS) A/C,Education (NPS) Amt,Housing (NPS) A/C,Housing (NPS) Amt,Personal Loans under NPS A/C,Personal Loans under NPS Amt,Others NPS A/C,Others NPS Amt,Total A/Cp NPS Disb No.,Total A/Cp NPS Disb Amt
Baksa,0,0,0,0,0,0,0,0,350,1437.65,141,491.02,280,688.94,771,2617.61
Barpeta,0,0,0,0,0,0,0,0,629,1747.61,653,2669.4,3058,9440.73,4340,13857.74
Biswanath,0,0,0,0,0,0,1,0.31,731,717.49,163,1152.26,615,1880.27,1510,3750.33
Bongaigaon,0,0,0,0,0,0,1,11.17,405,1435.69,438,1459.09,2246,10647.25,3090,13553.2
Cachar,1,0.02,2,1.21,0,0,0,0,655,2437.53,1155,3989.72,10507,19921.66,12320,26350.14
Charaideo,0,0,0,0,0,0,0,0,53,349.16,36,119.95,856,915.9,945,1385.01
Chirang,0,0,0,0,0,0,0,0,122,647.41,151,534.57,549,666.76,822,1848.74
Darrang,0,0,0,0,0,0,0,0,274,964.9,466,1712.17,2460,5693.64,3200,8370.71
Dhemaji,0,0,0,0,0,0,0,0,310,1072.21,266,2184.85,965,2630.67,1541,5887.73
Dhubri,1,0.24,0,0,0,0,0,0,588,1938.84,297,1365.23,1137,3761.05,2023,7065.36
Dibrugarh,0,0,0,0,0,0,5,10.25,577,3794.6,1381,8529.11,8923,93043.42,10886,105377.38
Dima Hasao,0,0,0,0,0,0,0,0,54,251.77,183,562.87,303,983.79,540,1798.43
Goalpara,0,0,0,0,0,0,0,0,380,1017.41,292,907.11,1044,3006.44,1716,4930.96
Golaghat,0,0,0,0,0,0,3,18.68,482,1577.97,517,2293.8,3519,6880.63,4521,10771.08
Hailakandi,0,0,0,0,0,0,0,0,238,324.17,116,518.25,1123,2155.27,1477,2997.69
Hojai,0,0,0,0,0,0,0,0,197,586.58,300,1208.03,997,2612.8,1494,4407.41
Jorhat,0,0,1,0.3,0,0,5,16.06,1027,5062.12,1027,3570.42,6984,14921.17,9044,23570.07
Kamrup Metro,0,0,0,0,0,0,11,25.66,927,3482.28,2079,9360.12,6529,18545.56,9546,31413.62
Karbi Anglong,0,0,0,0,0,0,0,0,172,644.26,518,1752.38,689,3421.29,1379,5817.93
Karimganj,0,0,0,0,0,0,0,0,151,540.42,299,1176.04,1222,6065.14,1672,7781.6
Kokrajhar,0,0,0,0,0,0,1,3.59,154,900.9,227,1230.2,886,3054.85,1268,5189.54
Lakhimpur,0,0,0,0,0,0,1,0.35,714,2548.78,441,2622.66,2345,22111.38,3501,27283.17
Majuli,0,0,0,0,0,0,0,0,36,112.11,129,223.98,112,144.02,277,480.11
Morigaon,0,0,0,0,0,0,0,0,151,536.61,517,1632.88,1081,3362.29,1749,5531.78
Nagaon,0,0,7,8.6,0,0,0,0,780,2745.39,821,3361.58,4319,33991.33,5927,40106.9
Nalbari,0,0,3,321.5,0,0,1,24.2,489,1876.91,802,3790.47,1793,5500.14,3088,11513.22
Sivasagar,0,0,0,0,0,0,1,26.51,351,1980.04,836,3933.6,7688,14069.66,8876,20009.81
Sonitpur,0,0,6,4,0,0,1,4.52,604,3189.5,903,3478.29,6275,15745.85,7789,22422.16
South Salmara,0,0,0,0,0,0,0,0,42,144.45,3,0.71,81,261.74,126,406.9
Tinsukia,1,0.29,0,0,0,0,3,2.83,490,1682.52,878,4188.07,6387,35641.53,7759,41515.24
Udalguri,0,0,1,6.29,0,0,0,0,305,614.75,117,364.35,326,971.77,749,1957.16
West Karbi Anglong,0,0,0,0,0,0,1,0.19,55,117.04,80,278.19,49,122.62,185,518.04
