District,Rural No.,Urban No.,Male No.,Female No.,Total PMJDY No.,No of Zero Balance A/C,Amt Deposits held in the A/C,No of Rupay Card Issued,No of Rupay Card Activated,No of Aadhaar Seeded
Baksa,487404,93894,224437,361186,585623,37531,35284.98,426997,287966,3778
Barpeta,849595,155429,498311,655356,1153667,158400,133042.27,688067,497637,13425
Biswanath,214396,26038,111852,173743,285595,22385,29568.68,116937,76274,3958
Bongaigaon,197100,110128,124062,191351,315413,22797,15606.83,251760,179927,5392
Cachar,449942,135432,269668,329043,598711,46056,39868.29,367174,241922,9587
Charaideo,115233,26135,63691,109242,172933,22719,21977.01,94245,43524,324
Chirang,267049,13707,138438,215737,354175,36260,24857.42,247735,158919,2854
Darrang,409591,169785,285797,415973,701770,105489,98168.43,348178,224529,5857
Dhemaji,436601,65367,240314,324004,564318,29536,15892.01,364363,268385,7548
Dhubri,760829,203978,474631,690775,1165406,164335,144026.22,652824,457602,18053
Dibrugarh,264753,105825,167016,265155,432171,44259,31308.04,306020,192542,7439
Dima Hasao,27249,8467,14882,21619,36501,627,1368.85,23963,16173,2183
Goalpara,341770,166023,219190,339328,558518,66638,58695.5,333836,208743,5662
Golaghat,2244123,1276519,1678643,1871525,3550168,222399,245564.97,2227011,2126645,110827
Hailakandi,229556,72535,142443,178549,320992,31222,27479.68,185141,122401,7864
Hojai,185662,156899,149307,212965,362272,35970,20374.32,276615,171545,34137
Jorhat,155832,90448,94555,157999,252554,23673,17294.47,174940,116413,2384
Kamrup Metro,612725,79368,312082,445723,757805,71022,50636.87,569157,312118,8601
Karbi Anglong,105406,31503,57564,81016,138580,5522,6468.33,72283,51574,5173
Karimganj,354901,35660,179056,224412,403468,43527,16906.51,215666,139768,6297
Kokrajhar,383253,124464,226490,303626,530116,66824,41281.64,308315,224214,7442
Lakhimpur,364169,156110,233982,324108,558090,23211,16342.08,398968,288064,7113
Majuli,76128,0,30592,45669,76261,9784,10204.63,32072,24736,427
Morigaon,247935,95706,149548,225907,375455,23949,23218.71,271731,133260,10896
Nagaon,1028413,233395,552824,741001,1293825,132373,43332.76,765835,482551,164735
Nalbari,297775,70317,156170,232695,388865,44122,49185.72,214492,135617,9132
Sivasagar,166720,37246,89645,136066,225711,15859,20463.64,184611,113924,2868
Sonitpur,389350,153152,243735,378297,622032,73306,88356.33,400817,288492,36132
South Salmara,75108,20312,49256,81894,131150,23640,42025.42,32992,25059,3364
Tinsukia,233988,119650,154413,234389,388802,48432,52774.63,243028,163191,5762
Udalguri,448910,99542,235234,342846,578080,71985,76228.04,337849,243050,4598
West Karbi Anglong,71300,0,28374,42915,71289,3103,3841.72,35062,24349,4632
