District,Enrolment under PMJJBY,eligible cases under PMJJBY,renewals under PMJJBY,Enrolment under PMSBY,eligible cases under PMSBY,renewals under PMSBY,Enrolment under APY,Total Enrolment No.
Baksa,29975,525172,20695,81400,785434,58012,15081,126456
Barpeta,37123,923340,24490,138629,1410727,96258,20330,196082
Biswanath,21802,298014,13026,59799,429420,37222,14897,96498
Bongaigaon,14156,279558,8436,55211,429951,36191,10268,79635
Cachar,47968,529458,29593,122836,854624,81569,22100,192904
Charaideo,8084,154951,5063,23512,225795,15484,4832,36428
Chirang,16414,326931,12022,47373,479715,36889,7996,71783
Darrang,31751,521119,19921,88157,823513,57790,13837,133745
Dhemaji,24037,316865,13866,81924,521144,48939,18922,124883
Dhubri,27724,697124,17146,148454,1164448,103642,18609,194787
Dibrugarh,54572,595127,39429,129233,901491,96184,28361,212166
Dima Hasao,9711,73732,3886,22146,105907,14581,6429,38286
Goalpara,20481,453613,13473,90865,720373,58619,12420,123766
Golaghat,142234,495294,68820,440217,945745,355917,33631,616082
Hailakandi,15473,244834,10165,43965,443008,30553,8231,67669
Hojai,17747,275271,10413,53594,454843,37020,7772,79113
Jorhat,31615,361278,19176,99534,554881,66935,21422,152571
Kamrup Metro,42421,821826,30794,124829,1220068,91822,25095,192345
Karbi Anglong,23543,298063,17301,72802,397139,62099,21643,117988
Karimganj,17959,324435,11451,47598,537389,31513,12112,77669
Kokrajhar,18442,445426,14362,50761,723853,36588,7681,76884
Lakhimpur,33267,363412,18765,106618,577662,63137,21357,161242
Majuli,2763,76499,1511,8814,111934,6471,3620,15197
Morigaon,17431,324235,10020,42798,497224,28802,11954,72183
Nagaon,60440,765962,35358,163300,1346915,92687,31362,255102
Nalbari,26208,440147,17891,76110,651129,56989,12510,114828
Sivasagar,34705,304308,23184,85442,461935,58316,13960,134107
Sonitpur,55979,666134,31445,130511,981334,74115,22613,209103
South Salmara,1038,87754,680,5863,133291,3951,919,7820
Tinsukia,37312,546380,24346,90212,781484,61581,20678,148202
Udalguri,34209,570228,21114,75694,845397,47644,12580,122483
West Karbi Anglong,8406,114659,6173,22703,161018,19439,9081,40190
