district,Export Credit A/C,Export Credit Amt.,Education (PS) A/C,Education (PS) Amt.,Housing (PS) A/C,Housing (PS) Amt.,Social Infrastructure A/C,Social Infrastructure Amt.,Renewable Energy A/Cc,Renewable Energy Amt.,Informal Credit A/C,Informal Credit Amt.,Total Other PS Disb No.,Total Other PS Disb Amt.
Baksa,0,0,19,37.26,115,383.88,1,24,0,0,3,3.6,138,448.74
Barpeta,0,0,75,73.3,414,1581.78,311,184.56,22,22.5,162,124.34,984,1986.48
Biswanath,0,0,29,31.49,239,509.69,1,30.27,15,133.46,1,0.38,285,705.29
Bongaigaon,0,0,39,96.8,254,995.89,1026,548.22,4,5.62,888,305.43,2211,1951.96
Cachar,0,0,364,311.19,1400,2583.65,37,9.36,1,0.7,20,48.9,1822,2953.8
Charaideo,0,0,15,18.21,36,100.63,53,12.98,4,4.45,0,0,108,136.27
Chirang,0,0,8,5.88,104,529.66,57,14.74,2,0,0,0,171,550.28
Darrang,0,0,73,82.95,176,486.79,418,131.1,1,1.5,8,11.57,676,713.91
Dhemaji,0,0,30,30.03,116,271.32,124,35.08,3,1.35,0,0,273,337.78
Dhubri,0,0,41,46.85,329,628.96,0,0,6,3.21,0,0,376,679.02
Dibrugarh,0,0,195,248.07,413,1754.03,93,42.83,13,16.36,25,36.07,739,2097.36
Dima Hasao,0,0,4,3.89,86,233.95,0,0,0,0,4,4.83,94,242.67
Goalpara,0,0,18,26.28,58,170.76,0,0,2,1.43,0,0,78,198.47
Golaghat,0,0,97,115.02,216,694.38,43,93.81,15,20.85,746,321.21,1117,1245.27
Hailakandi,0,0,12,6.49,220,254.15,0,0,4,4,2,8.55,238,273.19
Hojai,0,0,30,30.66,91,316.86,0,0,1,1.5,0,0,122,349.02
Jorhat,0,0,186,314.99,557,1466.82,6,181.05,1,0.75,1738,712.18,2488,2675.79
KARIMGANJ,0,0,24,49.7,118,155.86,0,0,0,0,3,3.47,145,209.03
Kamrup,0,0,496,507.94,551,1103.74,5228,1488.38,0,0,4276,1826.4,10551,4926.46
Kamrup Metro,1,2,761,1654.4,1559,8817.96,126,39.78,71,98.28,12285,4604.55,14803,15216.97
Karbi Anglong,0,0,21,14.65,434,3524,2,2.69,0,0,12,28.97,469,3570.31
Kokrajhar,0,0,16,31.58,162,641.22,15,8.25,4,3.86,0,0,197,684.91
Lakhimpur,0,0,75,78,327,1790.36,101,36.41,6,6.18,0,0,509,1910.95
Majuli,0,0,8,3.52,21,58.74,340,111.14,0,0,0,0,369,173.4
Morigaon,0,0,23,50.47,107,360.2,0,0,1,1.5,8,7.93,139,420.1
Nagaon,0,0,67,108.47,342,1196.98,368,117.82,4,4.15,2220,947.41,3001,2374.83
Nalbari,0,0,80,96.43,303,916.8,377,114.89,1,1.5,654,297.59,1415,1427.21
Sivasagar,0,0,76,153.16,328,1327.46,0,0,6,7,861,345.25,1271,1832.87
Sonitpur,0,0,102,207.57,512,1664.86,731,260.83,4,4.51,943,389.58,2292,2527.35
South Salmara,0,0,1,1.2,9,33.3,0,0,0,0,0,0,10,34.5
Tinsukia,0,0,128,216.77,308,1755.02,640,172.7,17,23.25,14,23.53,1107,2191.27
Udalguri,0,0,45,51.97,170,595.19,20,5.63,0,0,0,0,235,652.79
West Karbi Anglong,0,0,3,2.93,206,1252.56,0,0,0,0,0,0,209,1255.49
