district,Small and Marginal Farmers No,Small and Marginal Farmers Amt,Scheduled Castes No,Scheduled Castes Amt,Scheduled Tribes No,Scheduled Tribes Amt,DRI scheme No,DRI scheme Amt,Self Help Groups No,Self Help Groups Amt,women beneficiaries No,women beneficiaries Amt,Minority communities No,Minority communities Amt,PMJDY No,PMJDY Amt,Others No,Others Amt,Tot Weaker Sec O/S No.,Tot Weaker Sec O/S Amt.
Baksa,31209,18339.03,4684,2992.19,14036,8548.87,17,4.12,3211,2721.94,3987,1435.82,12194,10857.43,25,2.42,5777,2686.1,75140,47587.92
Barpeta,70085,37369.18,7611,4345.13,5651,3140.44,160,25.41,3971,3573.69,21058,5565.17,33745,32177.35,126,11.24,58279,26586.65,200686,112794.26
Biswanath,37955,19159.95,6117,3166.72,9767,5003.86,50,2.67,5388,4120.36,4988,1703.64,7003,4463.58,30,2.14,24865,12990.26,96163,50613.18
Bongaigaon,24661,10578.74,5944,3310.08,3682,3744.17,77,15.61,1467,1521.78,23028,5313.76,23008,14256.62,97,7.49,55219,21321.04,137183,60069.29
Cachar,91764,51666.73,24319,16163.7,6679,6065,542,73.14,5220,3621.64,20082,8130.57,40485,35901.32,267,60.78,169137,94217.47,358495,215900.35
Charaideo,16365,8483.01,1497,1093.05,1270,802.28,50,7.19,1759,1438.28,3765,1632.22,1632,1248.48,15,7.02,9582,6141.17,35935,20852.7
Chirang,22918,11407.13,1836,1330.54,11440,8357.02,24,6.87,2354,1843.51,2951,1377.71,6470,4393.9,11,3.13,12878,6517.54,60882,35237.35
Darrang,53455,29638.89,2971,1972.8,2652,1701.96,79,7.9,3404,3138.11,12151,3314.88,25645,21795.7,53,7.38,47665,19493.88,148075,81071.5
Dhemaji,29613,17371.24,5542,3478.36,20030,13557.35,121,15.43,3792,2766.4,5406,2607.41,1537,1111.74,26,14.07,15397,9828.22,81464,50750.22
Dhubri,65695,33265.96,9298,5145.01,2563,1612.68,170,28.35,2960,2106.42,5938,2536.73,26502,20194.76,141,20.42,74703,33609.07,187970,98519.4
Dibrugarh,101729,56916.47,12655,8969.72,14632,11861.5,333,105.42,5754,4160.92,33150,10990.93,7162,11225.59,125,36.69,62622,38750,238162,143017.24
Dima Hasao,3738,3544.6,1053,1238.12,2336,3446.43,59,1.12,677,586.97,2186,1155.77,859,1234.73,5,1.07,3223,3688.22,14136,14897.03
Goalpara,39226,18386.57,4749,2638.49,14165,6588.14,79,9.99,3941,2744.46,7740,2434.82,17974,14397.98,76,7.49,26116,13808.4,114066,61016.34
Golaghat,116542,56964.04,14377,7454.74,15002,8223.41,233,28.61,3662,3978.32,39290,8425.97,11817,5731.82,216,31.45,63738,26896.05,264877,117734.41
Hailakandi,25191,12543.28,4876,3097.53,1460,1258.64,121,20.24,1754,1122.2,3972,1872.54,20318,15327.79,54,18.05,27680,13848.71,85426,49108.98
Hojai,41023,22086.1,9274,5601.45,4258,2868.1,220,31.63,2902,2025,5853,2715.73,18263,11783.24,148,23.33,36793,18564.62,118734,65699.2
Jorhat,75406,37611.88,11351,7550.79,14098,8425.27,235,72.82,3336,3296.65,21528,6877.6,6496,9893.7,108,20.48,51893,28989.43,184451,102738.62
KARIMGANJ,47061,21420.39,12569,6063.24,2546,1713.73,205,44.22,2753,1672.84,10209,2503.79,20282,14768.56,123,41.21,71083,33558.26,166831,81786.24
Kamrup,92680,47146.08,10963,6511.96,11850,6555.36,258,51.25,5744,4704.58,44582,9912.73,23361,20725.13,113,20.46,96284,44157.24,285835,139784.79
Kamrup Metro,27575,21837.52,9708,14419.8,12054,20589.18,219,27.83,1941,2044.35,35575,11468.76,19840,63148.4,179,8.08,76484,43050.71,183575,176594.63
Karbi Anglong,13208,5593.38,838,1010.89,11599,12294.51,28,2.96,4251,2124.96,11203,3149.45,1225,1882.27,9,1.11,2410,2345.96,44771,28405.49
Kokrajhar,30577,14532.37,2943,1916.62,14564,12598.83,66,6.1,2071,1799.81,5422,2477.64,10904,6693.39,30,2.23,24628,11264.34,91205,51291.33
Lakhimpur,82375,51198.6,15935,10775.32,21347,15866.19,370,68.1,5196,4738.18,19590,7649.92,13503,10703.82,82,28.19,56893,45921.71,215291,146950.03
Majuli,5419,2906.65,1224,648.63,2443,1572.16,11,2.17,722,546.15,615,372.78,608,333.39,9,2.11,1092,1154.57,12143,7538.61
Morigaon,63084,32827.35,9560,6127.53,12430,7136.34,216,40.77,3802,2858.35,8584,2954.01,22106,14210.1,133,35.4,27544,15660.96,147459,81850.81
Nagaon,136666,69891.73,17830,11650.81,12529,8032.06,460,57.9,5402,5059.66,33445,10009.78,61325,40159.96,358,61.32,107862,60599.83,375877,205523.05
Nalbari,46048,22891.64,4719,2964.25,4008,2630.89,100,8.55,4942,5556.01,25278,5593.09,12583,9993.77,85,9.69,43117,18596.23,140880,68244.12
Sivasagar,64529,28881.49,7839,5085.16,5462,3629.91,171,15.75,2344,2199.7,15921,4986.4,8772,12384.2,178,19,35035,18802.21,140251,76003.82
Sonitpur,66084,34924.49,8783,6584.88,10653,6791.62,291,47.92,5363,4621.09,17314,6857.08,12911,14436.64,195,205.07,73249,39308.47,194843,113777.26
South Salmara,2471,947.66,27,36.2,23,4.97,0,0,231,192.98,249,101.01,2147,2625.26,16,0.07,162,207.05,5326,4115.2
Tinsukia,54372,34066.06,4246,3874.33,5926,5290.21,182,45.97,3438,2755.56,20699,6395.71,5766,8983.07,102,31.72,41263,20242.29,135994,81684.92
Udalguri,38530,22650.9,3175,1610.44,26772,19781.6,24,9.44,2274,2092.97,4601,2572.79,7388,6428.31,51,1.55,5995,4045.44,88810,59193.44
West Karbi Anglong,3118,1318.24,97,133.81,1865,2525.85,1,0.01,2158,963.01,3955,1209.16,230,355.36,16,0.35,1,0.95,11441,6506.74
