district,SHG No.,SHG Amount,NRLM O/S No.,NRLM O/S Amt.,NRLM Irregular A/C No.,NRLM Irregular A/C Amt,NRLM NPA No.,NRLM NPA Amt.
Baksa,1006,1681.25,7987,6152.67,970,1101.78,285,248.26
Barpeta,1241,2453.57,2559,2263.19,344,305.13,227,167.18
Biswanath,1296,2016.22,2753,2637.24,775,742.14,203,172.17
Bongaigaon,638,1308.97,1275,1562.61,332,408.3,32,21.22
Cachar,578,814.28,1118,856.05,249,161.49,34,14.29
Charaideo,409,917.05,1202,998.28,222,186.67,104,37.12
Chirang,1038,1438.33,1825,1550.78,278,194.41,55,20.3
Darrang,691,1296.56,1549,1710.93,299,361.55,145,133.92
Dhemaji,1033,1555.79,2159,1706.94,407,345.47,231,78.3
Dhubri,1487,2616.88,1793,1552,318,173.17,202,40.05
Dibrugarh,1411,2442.61,2602,2395.35,426,333.8,173,47.76
Dima Hasao,224,319.35,256,274.3,217,241.6,11,7.12
Goalpara,1466,2350.59,2006,1715.45,464,443.23,138,56.39
Golaghat,2408,4725.34,2657,3116.17,414,446.01,66,27.58
Hailakandi,314,418.3,1096,893.4,216,153.66,142,45.6
Hojai,512,695.73,1063,975.59,192,230.37,92,37.11
Jorhat,1044,2234.73,2178,2529.42,381,371.25,61,41.48
Kamrup Metro,2027,3228.99,3389,3356.85,369,375.6,545,434.47
Karbi Anglong,689,1154.16,1720,1401.38,1127,1029.19,177,90.52
Karimganj,433,638.69,1076,765.19,286,139.25,86,32.08
Kokrajhar,779,1443.9,1093,1234.58,242,207.36,74,25.12
Lakhimpur,1460,2832.11,3222,2788.36,484,470.89,367,172.83
Majuli,221,694.43,464,380.54,24,45.53,53,34.09
Morigaon,437,664.43,1528,1260.9,227,236.76,296,225.99
Nagaon,2148,3527.36,4015,3921.35,796,665.73,262,108.39
Nalbari,1405,2728.62,2802,3634.22,603,895.03,146,72.68
Sivasagar,998,2061.1,1626,1583.11,296,193.35,149,52.46
Sonitpur,2052,3831.45,3749,3778.57,369,420.18,329,125.13
South Salmara,245,288.45,281,179.31,47,48.63,138,27.05
Tinsukia,1169,1997.03,2635,2593.48,370,352.38,78,31.41
Udalguri,755,1297.47,1374,1503.85,165,178.14,77,73.87
West Karbi Anglong,224,387.08,864,606.77,481,401.01,171,89.59
