district,KCCs for AH and Allied Activities No,KCCs for AH and Allied Activities Amt,Farm Production A/C,Farm Production Amt,Dairy no,Dairy Amt,Farm Mechanisation No,Farm Mechanisation Amt,Poultry No,Poultry Amt,fisheries no,fisheries Amt,Godown No,Godown Amt,Clinic No,Clinic Amt,Other No,Other Amt,Total IC-Agri O/S No.,Total IC-Agri O/S Amt
Baksa,3012,2267.8,32,19.78,389,555.07,143,258.91,58,79.41,42,103.62,0,0,1,1.05,5857,3413.55,9534,6699.19
Barpeta,1559,1273.39,107,58.95,858,1080.5,1194,2182.16,122,132.37,175,317.73,2,12.72,4,14.87,20279,5854.74,24300,10927.43
Biswanath,961,672.05,119,65.41,61,109.52,105,140.68,134,119.07,12,22.03,0,0,10,19,2782,1714.37,4184,2862.13
Bongaigaon,1759,1259.14,40,25.31,1717,667.11,185,476.34,56,129.33,32,29.85,1,0.47,2,2.82,7207,3496.38,10999,6086.75
Cachar,3687,3162.52,390,216.86,327,468.61,224,605.18,292,429.48,143,197.02,9,323.15,19,37,6135,4497.2,11226,9937.02
Charaideo,296,353.53,50,28.15,31,46.69,27,36.33,47,47.1,5,8.54,1,0.7,8,16,628,560.38,1093,1097.42
Chirang,1295,777.46,31,18.82,226,241.96,7,11.86,21,24.03,5,3.25,0,0,4,7.76,1655,974.25,3244,2059.39
Darrang,1112,1390,112,66.13,639,1237.93,154,238.5,348,707.14,123,193.07,4,753.16,7,9.55,7850,5173.27,10349,9768.75
Dhemaji,706,650.43,106,58.03,79,266.92,57,68.48,73,82.76,12,32.96,0,0,6,9.1,1973,1444.42,3012,2613.1
Dhubri,1042,1066.06,175,96.58,296,361.27,157,408.67,124,86.19,12,17.28,0,0,10,28.01,1067,889.13,2883,2953.19
Dibrugarh,5704,4651.15,137,92.99,337,556.59,540,676.37,297,401.17,70,83.08,2,170,24,38.2,12695,10066.5,19806,16736.05
Dima Hasao,41,52.21,33,18.15,17,18.29,17,13.41,49,40.93,21,16,0,0,3,7,466,425.39,647,591.38
Goalpara,2112,1315,233,129,306,375.54,103,148.88,118,117.19,29,32.43,6,0.94,5,6.72,5601,4015.57,8513,6141.27
Golaghat,3463,2334.1,264,138.89,2191,929.2,433,663.81,103,123.79,11,5.46,1,218.73,1,0.5,25109,8863.77,31576,13278.25
Hailakandi,684,685.29,87,47.85,186,321.23,37,65.53,80,138.05,15,29.3,0,0,8,11.77,1110,694.66,2207,1993.68
Hojai,774,924.65,204,112.2,143,253.29,105,178.8,64,84.25,10,21.14,0,0,5,6.55,1486,867.69,2791,2448.57
Jorhat,2712,2268.59,128,80.19,2994,1566.97,528,726.67,170,293.42,141,53.01,2,88.83,16,34.99,26718,16210.82,33409,21323.49
KARIMGANJ,1909,1923.58,210,115.45,295,455.13,131,168.28,138,180.33,80,79.88,9,72.8,10,10.89,2546,1181.02,5328,4187.36
Kamrup,4830,3885.71,343,188.87,1656,989.52,414,664.03,267,456.1,106,115.21,4,3.9,20,29.27,19650,9783.76,27290,16116.37
Kamrup Metro,527,1404.28,59,35.35,1184,1343.74,192,366.04,149,560.19,144,230.8,39,3762.95,16,55.69,8240,21350.2,10550,29109.24
Karbi Anglong,557,298.84,72,39.6,725,360.71,44,72.45,10,25.47,10,10.09,0,0,6,15.99,3906,2745.72,5330,3568.87
Kokrajhar,242,221.9,21,12.85,231,145.27,44,69.58,11,12.12,6,4.66,0,0,0,0,725,899.07,1280,1365.45
Lakhimpur,971,1334.91,274,150.57,252,469.97,158,228.78,228,310.87,84,165.86,0,0,7,13.24,4017,1801.08,5991,4475.28
Majuli,43,85.2,12,6.6,4,4.99,17,37.6,5,4.9,6,8.96,0,0,1,2,101,72.82,189,223.07
Morigaon,2130,1893.55,102,56.1,552,615.96,235,474.62,177,228.6,89,120.38,1,14.4,11,11.24,2576,1861.36,5873,5276.21
Nagaon,4313,3776.54,633,348.15,2987,1702.93,745,1380.43,219,350.46,377,499.77,7,280.05,29,49.92,33292,9634.1,42602,18022.35
Nalbari,1144,908.79,60,30.06,668,582.16,359,411.25,163,97.54,172,110.49,1,1.78,10,12.53,12906,56959.85,15483,59114.45
Sivasagar,1322,1100.99,140,72.78,3114,1514.97,814,1339.98,156,121.32,10,15.53,0,0,11,95.74,6466,3553.66,12033,7814.97
Sonitpur,3030,2742.61,158,88.71,287,380.49,326,475.43,151,205.47,88,167.34,1,93.13,5,27.72,11181,5093.56,15227,9274.46
South Salmara,0,0,0,0,4,14.88,1,3.76,3,10.52,1,2.18,0,0,0,0,62,212.63,71,243.97
Tinsukia,3598,3213.41,262,148.78,301,536.27,591,514.16,219,448.27,69,54.32,0,0,4,6.45,8211,9573.09,13255,14494.75
Udalguri,1358,1093.49,46,24.94,179,375.07,59,115.74,64,72.47,74,34.69,1,0.33,0,0,4637,2871.33,6418,4588.06
West Karbi Anglong,0,0,0,0,195,85.97,35,6.27,0,0,6,0,0,0,0,0,32,22.47,268,114.71
