district,O/S No.,O/S Amt.,CY Disb No.,CY Disb Amt.
Baksa,40696,19457.36,11565,6895.11
Barpeta,162020,65538.12,47834,20692.75
Biswanath,64962,30714.72,20568,9591.79
Bongaigaon,88464,37339.54,33126,14844.65
Cachar,223376,108797.32,91188,42851.92
Charaideo,23665,11821.84,6585,3966.22
Chirang,32497,18494.31,9857,6065.78
Darrang,104216,41860.88,34300,13961.58
Dhemaji,47992,25843.85,12795,8230.86
Dhubri,137951,63238.92,52565,21653.29
Dibrugarh,190316,109169.41,46390,33357
Dima Hasao,4514,8749.34,1234,2859.69
Goalpara,72008,31570.9,23473,10718.18
Golaghat,182634,71264.66,52697,24302.03
Hailakandi,38662,17956.91,15801,6948.27
Hojai,75913,32923.64,24202,11057.55
Jorhat,181095,92604.5,37706,23439.78
Kamrup Metro,245295,103224.88,71852,34595.72
Karbi Anglong,38082,25677.73,11717,9847.59
Karimganj,115598,46188.44,46696,18718.98
Kokrajhar,44055,25609.34,17970,9354.6
Lakhimpur,130150,64347.05,37922,16957.35
Majuli,4625,2063.68,900,588.18
Morigaon,89079,38425.71,27072,11974.72
Nagaon,282335,141848.41,84228,37424.45
Nalbari,114052,43441.71,32313,13847.06
Sivasagar,137552,73469.5,34947,22634.01
Sonitpur,152635,75735.43,47005,24972.54
South Salmara,849,729.15,137,122.26
Tinsukia,112103,64711.82,31625,20543.66
Udalguri,34796,19792.01,9281,6236.34
West Karbi Anglong,5927,5386.32,1033,1571.13
