district,Crop No,Crop Amt,Term Loan No,Term Loan Amt,Agri Infra No,Agri Infra Amt,Ancillary No,Ancillary Amt,Tot Agri (PS) NPA No.,Tot Agri (PS) NPA Amt.
Baksa,5714,2673.71,5823,3620.75,16,51.9,13,12.11,11566,6358.47
Barpeta,12322,5880.6,6597,4105.3,37,199.42,87,130.58,19043,10315.9
Biswanath,3923,1769.36,5543,2327.86,14,15.95,19,24.46,9499,4137.63
Bongaigaon,2081,812.11,1253,597.81,7,9,57,122.12,3398,1541.04
Cachar,12657,6568.27,3084,1885.57,78,188.99,546,843.99,16365,9486.82
Charaideo,1208,612.98,1982,950.5,14,26.72,43,74,3247,1664.2
Chirang,3562,1403.33,2574,1429.31,17,30.26,18,32,6171,2894.9
Darrang,10018,4838.27,5885,3785.92,20,25.77,71,109.32,15994,8759.28
Dhemaji,6205,2993.42,4425,2373.81,19,38.54,97,138.29,10746,5544.06
Dhubri,10420,4893.85,4363,2153.6,157,117.96,120,141.19,15060,7306.6
Dibrugarh,22608,10605.83,16007,3758.93,76,80.93,286,589.66,38977,15035.35
Dima Hasao,838,160.78,40,29.41,1,1,5,9,884,200.19
Goalpara,5293,2260.62,4083,3325.06,30,44.44,85,91.01,9491,5721.13
Golaghat,23176,9160.45,10562,2943.48,30,51.44,207,391.74,33975,12547.11
Hailakandi,4962,2311.54,1642,847.48,21,30.6,89,103.72,6714,3293.34
Hojai,5767,2925.85,991,452.49,20,27.11,137,182,6915,3587.45
Jorhat,15333,5983.29,14122,4011.55,37,55.25,199,1747.2,29691,11797.29
KARIMGANJ,5096,2420.67,3160,1394.49,43,76.37,274,472.29,8573,4363.82
Kamrup,20952,10338.76,7518,3757.62,46,60.92,158,233.28,28674,14390.58
Kamrup Metro,4320,2195.93,3797,6062.14,70,307.33,92,1126.4,8279,9691.8
Karbi Anglong,5789,2134.78,434,243.9,10,20.97,12,25.06,6245,2424.71
Kokrajhar,3338,1356.64,3148,2147.77,68,97.87,17,25.35,6571,3627.63
Lakhimpur,14064,7521.79,6294,2994.13,35,53.47,246,331.27,20639,10900.66
Majuli,949,306.99,521,353.84,5,9.85,14,16,1489,686.68
Morigaon,6627,3491.63,4681,2720.5,39,64.22,289,536.64,11636,6812.99
Nagaon,28654,11653.16,9334,3702.28,58,89.62,434,583.77,38480,16028.83
Nalbari,8478,3726.8,5488,2547.32,58,51.44,60,76.29,14084,6401.85
Sivasagar,9024,3413.56,11060,3203.35,25,42.9,124,219.01,20233,6878.82
Sonitpur,5963,2970.28,8045,3283.01,17,34.01,94,227.44,14119,6514.74
South Salmara,962,302.37,487,490.34,0,0,0,0,1449,792.71
Tinsukia,11022,6331.19,5715,1917.42,51,101.91,265,373.84,17053,8724.36
Udalguri,13434,8340.92,4916,3474.86,49,66.72,20,13.32,18419,11895.82
West Karbi Anglong,1498,645.92,213,102.29,0,0,2,0,1713,748.21
