District,Savings Linked No.,Savings Linked Amt,Credit Linked No.,Credit Linked Amt,CY Savings Linked No.,CY Savings Linked Amt,CY Credit Linked No.,CY Credit Linked Amt,SHG O/S No.,SHG O/S Amt
Baksa,1282,83.64,1191,2554.36,1624,89.51,2054,3607.74,16728,15007.8
Barpeta,831,87.11,962,1841.29,1194,107.79,1471,2761.42,4436,3807.38
Biswanath,1209,166.79,589,873.35,2731,371.83,2046,2417.31,5415,4049.44
Bongaigaon,946,60.64,439,914.25,1014,61.86,669,1316.62,1802,2031.89
Cachar,746,63.41,413,650.41,1388,100.34,1009,1195.36,2609,1712
Charaideo,235,25.54,271,450.67,272,31.09,603,1112.4,1775,1374.6
Chirang,1294,54.65,480,732.4,1760,75.52,990,1277.5,2278,1887.93
Darrang,1082,49.24,555,1078.84,1294,55.3,825,1842.53,3393,3085.33
Dhemaji,1401,78.98,502,648.61,2904,154.68,1160,1697.65,3261,2315.99
Dhubri,3334,229.92,1058,1853.63,4661,299.12,1670,2623.64,3160,2250.41
Dibrugarh,2149,246.28,1072,1618.8,4320,381.9,2224,2767.88,3821,3239.35
Dima Hasao,181,6.5,151,181.1,224,10.26,225,331.85,485,367.48
Goalpara,766,50.06,1144,1675.55,1115,63.79,1646,2356.67,3540,2633.41
Golaghat,1415,165.79,646,1445.34,1890,214.6,1386,2953.78,3957,4421.4
Hailakandi,663,71.94,167,184.95,936,112.04,367,317.03,1682,1133.68
Hojai,548,24.66,216,313.8,1208,66.41,645,817.82,1250,1122.87
Jorhat,809,105.19,500,1107.49,1066,150.36,1152,2005.62,3268,3312.57
Kamrup Metro,1350,62.33,1314,2029.64,3576,210.31,2252,3183.59,5117,4183.38
Karbi Anglong,339,15.92,414,653.88,396,15.66,740,1238.08,3118,1738.83
Karimganj,582,18.81,302,417.26,893,31.43,483,686.89,2383,1389.77
Kokrajhar,1305,58.52,604,1166.02,2103,145.34,864,1480.03,2067,2117.94
Lakhimpur,1655,107.63,740,1463.17,2915,186.19,1768,3106.74,4296,3603.78
Majuli,63,1.51,132,492.19,107,2.14,191,659.86,705,516.81
Morigaon,693,28.69,238,306.93,1343,101.23,771,832.48,3835,2583.12
Nagaon,3893,133.73,1075,1611.37,4458,198.23,2204,3484.29,5203,4860.32
Nalbari,556,66.06,1136,2082.09,1006,120.75,1868,3776.98,4942,5548.51
Sivasagar,699,94.37,562,1077.1,822,154.04,1172,2157.85,2628,2516.09
Sonitpur,1389,272.71,1012,1550.63,1622,304.26,1829,3261.17,5164,4227.5
South Salmara,100,1.3,238,276,102,1.3,245,288.45,338,213.27
Tinsukia,920,66.66,609,851.38,1217,83.21,1238,2038.22,3228,2614.5
Udalguri,1343,61.44,662,895.72,1398,61.11,940,1437.89,2654,2395.16
West Karbi Anglong,329,15.43,157,257.99,355,15.78,322,522.16,2164,966.73
