district,Micro No,Micro Amt,Small No,Small Amt,Medium No,Medium Amt,KVIC No,KVIC Amt,Other MSME No,Other MSME Amt,Tot MSME (PS) NPA No.,Tot MSME (PS) NPA Amt.
Baksa,4309,3278.56,329,498.82,0,0,645,780.28,421,166.94,5704,4724.6
Barpeta,7214,6307.26,675,1711.99,0,0,292,428.84,190,52.44,8371,8500.53
Biswanath,5045,2079.34,1017,772.91,1,7,107,154.65,212,47.77,6382,3061.67
Bongaigaon,2105,1448.2,103,423.73,6,142.47,366,479.16,60,7.26,2640,2500.82
Cachar,5888,6203.08,378,2272.69,1,52,259,343.04,61,45.4,6587,8916.21
Charaideo,2324,1444.18,163,498.14,0,6,80,153.37,105,62.51,2672,2164.2
Chirang,1753,1385.4,478,578.62,0,0,759,827.72,63,109.54,3053,2901.28
Darrang,4562,3541.81,755,678.47,1,7.16,471,676.15,371,218.97,6160,5122.56
Dhemaji,3938,2135.58,318,674.25,0,0,189,265.21,354,76.45,4799,3151.49
Dhubri,4680,2991.67,1109,855.84,1,7,399,409.73,432,249.4,6621,4513.64
Dibrugarh,11658,6872.14,833,3978.97,5,158.88,282,327.2,1742,626.83,14520,11964.02
Dima Hasao,106,177.56,7,14,0,0,1,0.02,0,0,114,191.58
Goalpara,4162,3377.55,405,710.95,0,0,392,438.69,121,134.56,5080,4661.75
Golaghat,5687,2843.84,82,934.94,7,26.17,226,271.52,266,18.01,6268,4094.48
Hailakandi,1903,1185.37,108,347.89,0,0,227,296.5,50,12.56,2288,1842.32
Hojai,3793,2242.51,237,337.59,0,0,16,25.95,152,69.09,4198,2675.14
Jorhat,8772,5827.58,377,3512.03,8,648.46,164,197.24,272,60.73,9593,10246.04
Kamrup Metro,9099,6951.14,514,782.05,4,23.8,508,652.42,349,344.05,10474,8753.46
Karbi Anglong,469,546.23,130,134.43,0,0,101,4.89,284,206.78,984,892.33
Karimganj,3709,2568.18,74,427.07,1,67,109,154.58,48,5.33,3941,3222.16
Kokrajhar,2542,2357.68,906,1298.56,1,2,762,764.91,151,215.01,4362,4638.16
Lakhimpur,6621,4914.47,1013,1907.31,1,36,174,275.25,251,73.06,8060,7206.09
Majuli,704,734.02,75,168.09,0,0,32,37.27,556,532.4,1367,1471.78
Morigaon,3451,3141.68,53,488.69,2,104.01,277,384.36,135,8.95,3918,4127.69
Nagaon,9999,9326.44,357,964.08,2,22.36,417,533.86,1020,383.64,11795,11230.38
Nalbari,5854,4433.5,526,628.27,0,0,537,747.67,280,138.17,7197,5947.61
Sivasagar,6093,3171.63,860,1269.08,1,0.77,130,230.41,502,155.75,7586,4827.64
Sonitpur,5928,4017.74,1922,3156.61,4,101.4,345,506.95,1419,988.17,9618,8770.87
South Salmara,282,446.98,504,739.9,0,0,154,196.31,39,116.7,979,1499.89
Tinsukia,7261,4918.91,347,1422.05,1,76,256,200.76,250,93.74,8115,6711.46
Udalguri,3053,2100.61,3785,4664.15,0,0,559,752.22,2970,1287.18,10367,8804.16
West Karbi Anglong,157,59.55,2,13.15,0,0,1,0.06,0,0,160,72.76
