District,Crop Loan A/C,Crop Loan Amt,Forestry and wasteland Dev. A/C No.,Forestry and wasteland Dev. Amt,Water Resource A/C No.,Water Resource Amt,Farm mechanization A/C No.,Farm mechanization Amt,Plantation & horticulture A/C No.,Plantation & horticulture Amt,Animal Husbandry A/C No.,Animal Husbandry Amt,Fishery A/C No.,Fishery Amt,Farm Credit Others A/C No.,Farm Credit Others Amt,Agri. Infrastructure A/C,Agri. Infrastructure Amt,Ancillary Activities A/C,Ancillary Activities Amt,Tot ACP Agri (PS) Disb No.,Tot ACP Agri (PS) Disb Amt
Baksa,3998,2653.14,0,0,0,0,38,15.24,1,0.05,1064,640.71,135,81.01,4480,1503.45,45,19.95,787,1935.73,10548,6849.28
Barpeta,6766,3536.81,0,0,0,0,89,171.56,8,9.83,459,384.52,70,72.16,17588,6651.23,169,111.5,1512,1964.13,26661,12901.74
Biswanath,3304,2711.07,0,0,2,1,36,57.92,0,0,602,536.75,47,23.98,7015,3436.01,138,99,1564,4016.1,12708,10881.83
Bongaigaon,2043,1583.53,0,0,1,0.1,32,38.89,1,1.45,212,301.49,12,12.02,6266,2801.38,231,97.25,691,1236.19,9489,6072.3
Cachar,4229,3005.28,0,0,1,0.07,130,108.07,3,0.16,158,147.91,107,103.25,22392,9351.1,360,856.01,2442,3474.75,29822,17046.6
Charaideo,508,345.75,0,0,0,0,22,34.52,0,0,291,206.13,9,10.32,3086,1345.99,49,29.25,599,1057.02,4564,3028.98
Chirang,2749,1720.69,0,0,0,0,5,7.61,0,0,219,142.83,12,5.5,2698,1167.34,421,184.4,702,1253.69,6806,4482.06
Darrang,3592,2708.72,0,0,0,0,62,60.08,15,10.69,450,601.94,92,51.97,12924,5073.63,96,66.95,927,2479.78,18158,11053.76
Dhemaji,2831,2228.32,0,0,0,0,29,35.15,0,0,666,483.64,34,34.57,3094,816.71,25,17.25,1146,1633.99,7825,5249.63
Dhubri,4009,2552.26,0,0,0,0,51,63.72,0,0,402,343.42,16,13.51,14438,6034.82,2372,1352.18,1411,1366.47,22699,11726.38
Dibrugarh,10506,7245.59,0,0,10,10.31,42,52.54,15,58.54,1037,575.35,57,57.68,18387,8435.08,136,88.18,1346,5331.46,31536,21854.73
Dima Hasao,334,135.18,0,0,0,0,9,8.41,1,2.4,71,84.32,0,0,174,114.98,2,2.75,558,1642.44,1149,1990.48
Goalpara,2488,1450.05,0,0,0,0,38,57.37,0,0,742,508.7,32,22.41,9555,4125.1,183,79.05,957,1670.98,13995,7913.66
Golaghat,5511,4336.27,0,0,0,0,77,115.39,9,571.56,541,448.77,70,68.45,23197,8849.39,901,462.9,1840,5675.48,32146,20528.21
Hailakandi,2040,1116.56,0,0,1,0.5,20,41.1,39,42.8,67,81.79,14,20.57,3576,1324.37,32,27.2,486,561.3,6275,3216.19
Hojai,2112,1259.34,0,0,0,0,58,46.43,0,0,165,99.74,15,23.65,9085,4405.75,1070,711.76,1776,1719.41,14281,8266.08
Jorhat,4027,3006.59,0,0,0,0,28,57.08,13,13.37,784,637.88,33,54.33,17255,6523.66,925,550.39,1193,10034.94,24258,20878.24
Kamrup Metro,7084,4189.77,0,0,0,0,136,158.53,12,12.67,1314,814.07,160,110.12,22779,8346.88,287,228.05,1694,3654.93,33466,17515.02
Karbi Anglong,5253,3486.6,0,0,0,0,5,12.54,4,3.77,1208,672.53,45,18.53,1620,501.35,5,5.9,2052,4246.71,10192,8947.93
Karimganj,1241,715.85,0,0,0,0,74,101.88,0,0,119,125.17,8,19.4,13408,5611.27,162,97.4,1704,1768.21,16716,8439.18
Kokrajhar,5585,3464.6,0,0,0,0,9,4.95,0,0,115,115.59,6,3.55,2359,1346.64,1721,1000.73,699,893.03,10494,6829.09
Lakhimpur,6199,4226.52,0,0,0,0,85,89.9,2,0.3,1486,1290.16,246,152.25,13612,3640.53,172,119.2,2108,3346.75,23910,12865.61
Majuli,612,343.41,0,0,0,0,11,11.41,0,0,86,37.63,33,19.52,156,86.13,2,2.2,178,362.88,1078,863.18
Morigaon,3485,1803.85,0,0,0,0,68,64.46,0,0,564,368.82,78,63.03,15358,6374.57,902,536.1,1429,1355.04,21884,10565.87
Nagaon,8702,5601.52,0,0,1,5,148,219.07,4,7.22,868,555.27,314,211.61,39279,14972.31,1142,759.96,3503,5202.84,53961,27534.8
Nalbari,3008,1864.39,0,0,1,1,45,68.72,63,14.69,433,423.19,148,79.67,13268,4810.48,71,53.7,1126,3187.95,18163,10503.79
Sivasagar,3002,2561.99,0,0,1,2,68,66.53,4,1.8,775,475.12,57,40.57,17916,6958.85,63,48.95,1414,3806.19,23300,13962
Sonitpur,6034,4644.94,0,0,0,0,58,97.46,17,23.51,843,948.12,59,90.8,21039,8423.86,460,236.7,1479,4220.87,29989,18686.26
South Salmara,179,58.92,0,0,0,0,0,0,0,0,1,1.95,9,41.11,38,41.86,0,0,46,145,273,288.84
Tinsukia,9474,7059.67,0,0,1,0.83,40,51.92,19,36.63,542,484.3,50,61.37,11229,5277.63,146,97.85,1222,8159.12,22723,21229.32
Udalguri,3935,3039.43,0,0,0,0,4,4.57,1,1,1136,541.68,46,26.07,2244,996.17,102,50.75,554,1065.97,8022,5725.64
West Karbi Anglong,1072,670.32,0,0,0,0,0,0,0,0,63,87.21,3,1.05,3,4.5,0,0,421,914.26,1562,1677.34
