district,Sishu No,Sishu amt,Kishore no,Kishore Amt,Tarun No,Tarun Amt,Total MUDRA Disb No.,Total MUDRA Disb Amt.
Baksa,74,27.02,237,572.33,102,720.23,413,1319.58
Barpeta,10503,3460.74,6845,8080.84,287,1826.32,17635,13367.9
Biswanath,1948,727.74,2359,2677.58,65,477.31,4372,3882.63
Bongaigaon,9155,2772.8,4157,5171.01,380,2589.12,13692,10532.93
Cachar,23963,8035.6,13876,15039.95,505,3499.51,38344,26575.06
Charaideo,777,290.81,930,1034.23,46,324.25,1753,1649.29
Chirang,1891,654.89,1453,1694.52,73,522.67,3417,2872.08
Darrang,4885,1617.69,4111,4615.99,134,860.71,9130,7094.39
Dhemaji,2160,711.02,1765,1852.87,92,491.28,4017,3055.17
Dhubri,15778,5188.64,8877,9325.61,139,931.29,24794,15445.54
Dibrugarh,7258,1995.22,5012,6709.81,554,3954.76,12824,12659.79
Dima Hasao,228,67.55,100,198.11,28,209.75,356,475.41
Goalpara,5761,1825.75,2530,2716.74,76,487.77,8367,5030.26
Golaghat,6677,2226.9,4067,4795.11,207,1370.47,10951,8392.48
Hailakandi,5061,1341.24,2703,3036.4,51,385.35,7815,4762.99
Hojai,3372,1151.3,2788,3652.24,150,1075.88,6310,5879.42
Jorhat,7852,2522.47,3932,5285.47,556,3573.64,12340,11381.58
KARIMGANJ,15207,4279.2,7083,7605.56,90,572.24,22380,12457
Kamrup,14800,5240.77,12004,13098.87,236,1686.9,27040,20026.54
Kamrup Metro,17235,5773.3,10853,13957.11,1279,9040.07,29367,28770.48
Karbi Anglong,718,194.72,184,417.42,101,734.09,1003,1346.23
Kokrajhar,364,110.83,229,814.8,90,633.02,683,1558.65
Lakhimpur,2759,974.92,3479,4159.59,225,1470.88,6463,6605.39
Majuli,47,21.09,60,104.33,28,227.12,135,352.54
Morigaon,2798,936.55,3037,3748.59,124,935.9,5959,5621.04
Nagaon,13418,4203.54,6985,9280.66,620,4117.32,21023,17601.52
Nalbari,5115,1709.07,2897,3254.3,96,730.6,8108,5693.97
Sivasagar,3180,1183.16,3941,5850.05,386,2548.05,7507,9581.26
Sonitpur,11164,3429.49,6507,7740.47,438,3029.63,18109,14199.59
South Salmara,19,6.23,20,35.94,10,78.98,49,121.15
Tinsukia,4699,1750.4,5812,7257.41,583,4082.03,11094,13089.84
Udalguri,127,40.32,211,471.15,38,284.62,376,796.09
West Karbi Anglong,139,32.67,22,62.03,11,85.09,172,179.79
