District,Deposit Linkage No. of Groups,Amt,Capacity Building No.,RF No.,Credit Linked No.,No. of Federations
Dhalai,287,290.50,182,402,244,84
Gomati,193,199.50,153,419,133,183
Khowai,2966,211.00,184,2742,211,104
North Tripura,3900,250.40,6081,3455,251,146
Sepahijala,3760,80.00,2880,3457,80,140
South Tripura,351,216.00,221,196,149,29
Unakoti,2671,232.50,4132,2224,251,86
West Tripura,4704,273.50,4357,4483,272,173
