district,Annexure No.
"RSETI - SBI -Kumarghat, Unakoti.",
"RSETI - TGB -SEPAHIJALA, Sepahijala",
"RSETI - UBI - Ambassa ,Dhalai",
"RSETI - UBI -Udaipur,Gomati",
"RUDSETI, AGARTALA (Promoted by Syndicate & Canara Bank), West Tripura",
