district,Block Mohanpur,Gram panchayet/Village Kalkalia,Name of Bank TGB,Name of Branch Sidhai Mohanpur
Dhalai,Durgachow mahani,Bamancherra,TGB,Bamancherra
Gomati,Tapania,Chhataria,United Bank,Udaipur
Khowai,Kalyanpur,Dwarikapur,TGB,Kalyanpur
North Tripura,Kadamtala,Brajendranagar,TGB,Kadamtala
Sepahijala,Mohanbhog,Ghrantali,United Bank,Melaghar
South Tripura,Rajnagar,Dakshin Srirampur,United Bank,Siddhinagar
Unakoti,Kumarghat,Gokulnagar,TGB,Fatikroy
