District,CD RATIO March 2018,CD RATIO December 2017,CD RATIO December 2018,CD RATIO Since December 2017
Dhalai,66,63,73,+10
Gomati,93,89,164,+75
Khowai,69,66,67,+1
North Tripura,49,47,58,+11
Sepahijala,67,65,68,+3
South Tripura,50,48,57,+9
Unakoti,59,56,67,+11
West Tripura,36,35,36,+1
